arm,representation,target,readout,population,rows,sources,mse,rmse
A-observed,conditions,relaxed_radial,residual,T510,192,3,0.9074764235471529,0.9526155696539674
A-observed,conditions,relaxed_radial,residual,T520,192,3,1.1067656079758508,1.0520292809498464
A-observed,descriptor,current_order,ridge,all,960,15,0.3593329613542504,0.5994438767343031
A-observed,descriptor,current_order,ridge,PTM_other,686,15,0.4657106495193895,0.6824299594239613
A-observed,descriptor,current_order,ridge,PTM_crystalline,274,13,0.18111191546046562,0.42557245618163025
A-observed,descriptor,current_order,ridge,T400,192,3,0.48267282740213674,0.6947465922206001
A-observed,descriptor,current_order,ridge,T450,192,3,0.3039258004015423,0.5512946584191999
A-observed,descriptor,current_order,ridge,T500,192,3,0.3251583838726043,0.5702266074751373
A-observed,descriptor,current_order,ridge,T510,192,3,0.30192324625517053,0.549475428254231
A-observed,descriptor,current_order,ridge,T520,192,3,0.3829845488397984,0.6188574543784686
A-observed,descriptor,current_order,residual,all,960,15,0.3593329613542504,0.5994438767343031
A-observed,descriptor,current_order,residual,PTM_other,686,15,0.4657106495193895,0.6824299594239613
A-observed,descriptor,current_order,residual,PTM_crystalline,274,13,0.18111191546046562,0.42557245618163025
A-observed,descriptor,current_order,residual,T400,192,3,0.48267282740213674,0.6947465922206001
A-observed,descriptor,current_order,residual,T450,192,3,0.3039258004015423,0.5512946584191999
A-observed,descriptor,current_order,residual,T500,192,3,0.3251583838726043,0.5702266074751373
A-observed,descriptor,current_order,residual,T510,192,3,0.30192324625517053,0.549475428254231
A-observed,descriptor,current_order,residual,T520,192,3,0.3829845488397984,0.6188574543784686
A-observed,descriptor,future_order_12,ridge,all,960,15,0.5922071368684105,0.7695499573571625
A-observed,descriptor,future_order_12,ridge,PTM_other,686,15,0.7502853707265075,0.866190146980735
A-observed,descriptor,future_order_12,ridge,PTM_crystalline,274,13,0.2748933044551308,0.5243026840052708
A-observed,descriptor,future_order_12,ridge,T400,192,3,0.6403578124715772,0.8002236015462035
A-observed,descriptor,future_order_12,ridge,T450,192,3,0.5678303225815351,0.7535451695695057
A-observed,descriptor,future_order_12,ridge,T500,192,3,0.5505629875383415,0.741999317747895
A-observed,descriptor,future_order_12,ridge,T510,192,3,0.5679642147447033,0.7536340058308829
A-observed,descriptor,future_order_12,ridge,T520,192,3,0.6343203470058956,0.7964423061376734
A-observed,descriptor,future_order_12,residual,all,960,15,0.5922071368684105,0.7695499573571625
A-observed,descriptor,future_order_12,residual,PTM_other,686,15,0.7502853707265075,0.866190146980735
A-observed,descriptor,future_order_12,residual,PTM_crystalline,274,13,0.2748933044551308,0.5243026840052708
A-observed,descriptor,future_order_12,residual,T400,192,3,0.6403578124715772,0.8002236015462035
A-observed,descriptor,future_order_12,residual,T450,192,3,0.5678303225815351,0.7535451695695057
A-observed,descriptor,future_order_12,residual,T500,192,3,0.5505629875383415,0.741999317747895
A-observed,descriptor,future_order_12,residual,T510,192,3,0.5679642147447033,0.7536340058308829
A-observed,descriptor,future_order_12,residual,T520,192,3,0.6343203470058956,0.7964423061376734
A-observed,descriptor,future_order_3,ridge,all,960,15,0.57544967811638,0.7585839954259384
A-observed,descriptor,future_order_3,ridge,PTM_other,686,15,0.7133542673065759,0.8446030235007307
A-observed,descriptor,future_order_3,ridge,PTM_crystalline,274,13,0.30581234849649985,0.5530030275654012
A-observed,descriptor,future_order_3,ridge,T400,192,3,0.6740891673526291,0.8210293340390641
A-observed,descriptor,future_order_3,ridge,T450,192,3,0.5488656781919146,0.7408546943847454
A-observed,descriptor,future_order_3,ridge,T500,192,3,0.4869756487149099,0.6978364054095415
A-observed,descriptor,future_order_3,ridge,T510,192,3,0.5302049485441342,0.7281517345609596
A-observed,descriptor,future_order_3,ridge,T520,192,3,0.637112947778312,0.7981935528293322
A-observed,descriptor,future_order_3,residual,all,960,15,0.57544967811638,0.7585839954259384
A-observed,descriptor,future_order_3,residual,PTM_other,686,15,0.7133542673065759,0.8446030235007307
A-observed,descriptor,future_order_3,residual,PTM_crystalline,274,13,0.30581234849649985,0.5530030275654012
A-observed,descriptor,future_order_3,residual,T400,192,3,0.6740891673526291,0.8210293340390641
A-observed,descriptor,future_order_3,residual,T450,192,3,0.5488656781919146,0.7408546943847454
A-observed,descriptor,future_order_3,residual,T500,192,3,0.4869756487149099,0.6978364054095415
