contrast,arm,representation,target,readout,reference_arm,reference_representation,reference,candidate,change_percent,ci95_lower,ci95_upper,roots,roots_improved
training,B-relaxed,exported,observed_l6,neighbors,B-relaxed,initial_exported,0.6880594730377197,0.6898691177368164,0.263007017563055,-2.4086183862623987,2.9552225297743187,15,6
descriptor_control,B-relaxed,exported,observed_l6,neighbors,B-relaxed,descriptor,0.6819305777549743,0.6898691177368164,1.1641272940094538,-1.4202374424533104,3.712769522694728,15,7
training,B-relaxed,exported,relaxed_l6,neighbors,B-relaxed,initial_exported,0.41854719718297323,0.42652087410291034,1.905084294818793,0.05514096983226081,3.876691186459719,15,4
descriptor_control,B-relaxed,exported,relaxed_l6,neighbors,B-relaxed,descriptor,0.42087801893552146,0.42652087410291034,1.3407341114322735,-1.5491798860618788,4.652647595883495,15,7
training,B-relaxed,exported,future_order_9,neighbors,B-relaxed,initial_exported,1.0376103520393372,1.054861323038737,1.662567356377509,-0.08710938952955077,3.523359494148228,15,5
descriptor_control,B-relaxed,exported,future_order_9,neighbors,B-relaxed,descriptor,1.0045465588569642,1.054861323038737,5.008704050414936,1.9001463289646365,8.444674361780296,15,3
training,B-relaxed,pooled,observed_angular,neighbors,B-relaxed,initial_pooled,1.9013979355494182,1.8772267897923787,-1.2712302514441887,-2.7526052814402036,0.06478559330134612,15,8
training,B-relaxed,pooled,relaxed_angular,neighbors,B-relaxed,initial_pooled,1.5147542158762615,1.5382665991783142,1.5522243183493156,-0.440641701063364,3.5153137569364508,15,6
training,B-relaxed,pooled,observed_l6,neighbors,B-relaxed,initial_pooled,0.6918184717496236,0.6844948450724284,-1.0586052521369682,-2.913959131375014,1.0230894138197373,15,7
training,B-relaxed,pooled,relaxed_l6,neighbors,B-relaxed,initial_pooled,0.41953324278195697,0.41502870519955953,-1.0737021821030202,-2.7077378231032414,0.44563253401434577,15,10
training,B-relaxed,pooled,future_order_9,neighbors,B-relaxed,initial_pooled,1.043613608678182,1.0538629134496054,0.9820976543612581,-0.29171192079729014,2.2007669264520606,15,7
training,C-relaxed-teacher,exported,current_order,ridge,C-relaxed-teacher,initial_exported,0.4142895749351743,0.41455533229539926,0.0641477305497018,-1.734136161277714,1.9012842025675196,15,6
relaxed_teacher,C-relaxed-teacher,exported,current_order,ridge,A-observed,exported,0.4130910147406807,0.41455533229539926,0.35447819063259,-0.17332759681082388,0.8016026965496326,15,7
training,C-relaxed-teacher,exported,current_order,residual,C-relaxed-teacher,initial_exported,0.41027031357283666,0.4148064830822168,1.1056538480390898,-0.6278665214033535,2.9061659664622415,15,6
relaxed_teacher,C-relaxed-teacher,exported,current_order,residual,A-observed,exported,0.41903476253337796,0.4148064830822168,-1.0090521907056282,-1.7443213592116715,-0.2730267947739933,15,10
training,C-relaxed-teacher,exported,future_order_12,ridge,C-relaxed-teacher,initial_exported,0.5746313964511678,0.5761199267716314,0.25904089641750616,-0.0816241730970188,0.6055249364991394,15,5
relaxed_teacher,C-relaxed-teacher,exported,future_order_12,ridge,A-observed,exported,0.5768992263350019,0.5761199267716314,-0.1350841755017318,-0.23964979821713694,-0.04090308693569194,15,11
persistence,C-relaxed-teacher,exported,future_order_12,ridge,C-relaxed-teacher,persistence,0.8955950880579524,0.5761199267716314,-35.67183044506027,-39.28633519175807,-31.543010147251533,15,15
training,C-relaxed-teacher,exported,future_order_12,residual,C-relaxed-teacher,initial_exported,0.571627979038572,0.5725946429097963,0.16910716526685743,-0.4900117586784142,0.7994038104980992,15,9
relaxed_teacher,C-relaxed-teacher,exported,future_order_12,residual,A-observed,exported,0.5746688460583135,0.5725946429097963,-0.3609388542191283,-0.5423747168745265,-0.2181615258658371,15,12
persistence,C-relaxed-teacher,exported,future_order_12,residual,C-relaxed-teacher,persistence,0.8955950880579524,0.5725946429097963,-36.06545518785329,-39.602526759546194,-32.01680303223094,15,15
training,C-relaxed-teacher,exported,future_order_3,ridge,C-relaxed-teacher,initial_exported,0.5668308115763095,0.5655166070742462,-0.2318512817622964,-0.8577224317160517,0.4232488269247442,15,9
relaxed_teacher,C-relaxed-teacher,exported,future_order_3,ridge,A-observed,exported,0.5645508870635582,0.5655166070742462,0.17105986950283203,-0.18864269419205715,0.6013230858718505,15,8
persistence,C-relaxed-teacher,exported,future_order_3,ridge,C-relaxed-teacher,persistence,0.8318929066854726,0.5655166070742462,-32.02050377765027,-34.98967692118536,-28.241994302761384,15,15
training,C-relaxed-teacher,exported,future_order_3,residual,C-relaxed-teacher,initial_exported,0.5671237472634252,0.5679312776186732,0.14239050280377974,-1.0066113230192373,1.146005203588016,15,8
relaxed_teacher,C-relaxed-teacher,exported,future_order_3,residual,A-observed,exported,0.5665163240821361,0.5679312776186732,0.2497639479020375,-0.10499190796431968,0.6325938762723571,15,7
persistence,C-relaxed-teacher,exported,future_order_3,residual,C-relaxed-teacher,persistence,0.8318929066854726,0.5679312776186732,-31.7302415906522,-34.87701450854978,-27.8154092176166,15,15
training,C-relaxed-teacher,exported,future_order_9,ridge,C-relaxed-teacher,initial_exported,0.555170528761326,0.5542542797530384,-0.16503920161826668,-1.0129306483537595,0.6729774956333225,15,7
