arm,checkpoint,domain,block,population,rows,sources,mse
B-relaxed,initial,relaxed,l4,T450,192,3,0.4512367904535495
B-relaxed,initial,relaxed,l4,T500,192,3,0.41942473008142156
B-relaxed,initial,relaxed,l4,T510,192,3,0.38577388762011344
B-relaxed,initial,relaxed,l4,T520,192,3,0.5581024747613508
B-relaxed,initial,relaxed,block_mean,all,960,15,0.5046100141951078
B-relaxed,initial,relaxed,block_mean,PTM_other,686,15,0.6683374117555729
B-relaxed,initial,relaxed,block_mean,PTM_crystalline,274,13,0.14737993801276036
B-relaxed,initial,relaxed,block_mean,T400,192,3,0.5620165707077831
B-relaxed,initial,relaxed,block_mean,T450,192,3,0.4854328466875206
B-relaxed,initial,relaxed,block_mean,T500,192,3,0.4699134715944334
B-relaxed,initial,relaxed,block_mean,T510,192,3,0.4144148854611558
B-relaxed,initial,relaxed,block_mean,T520,192,3,0.5912722965246454
B-relaxed,last,relaxed,radial,all,960,15,0.17805393194912542
B-relaxed,last,relaxed,radial,PTM_other,686,15,0.22592087846660336
B-relaxed,last,relaxed,radial,PTM_crystalline,274,13,0.08627606042817114
B-relaxed,last,relaxed,radial,T400,192,3,0.2310531369100014
B-relaxed,last,relaxed,radial,T450,192,3,0.17269059947708834
B-relaxed,last,relaxed,radial,T500,192,3,0.1601403024051251
B-relaxed,last,relaxed,radial,T510,192,3,0.14787823673304956
B-relaxed,last,relaxed,radial,T520,192,3,0.17850738422036255
B-relaxed,last,relaxed,l2,all,960,15,0.7842472233266866
B-relaxed,last,relaxed,l2,PTM_other,686,15,1.0936023957074148
B-relaxed,last,relaxed,l2,PTM_crystalline,274,13,0.10168240323690052
B-relaxed,last,relaxed,l2,T400,192,3,0.8626610120603193
B-relaxed,last,relaxed,l2,T450,192,3,0.7394517472424316
B-relaxed,last,relaxed,l2,T500,192,3,0.7445788205662514
B-relaxed,last,relaxed,l2,T510,192,3,0.6287497757706053
B-relaxed,last,relaxed,l2,T520,192,3,0.9457947609938249
B-relaxed,last,relaxed,l4,all,960,15,0.43844288022131267
B-relaxed,last,relaxed,l4,PTM_other,686,15,0.5505013549662133
B-relaxed,last,relaxed,l4,PTM_crystalline,274,13,0.19545155015866933
B-relaxed,last,relaxed,l4,T400,192,3,0.501703144380978
B-relaxed,last,relaxed,l4,T450,192,3,0.4219020118180197
B-relaxed,last,relaxed,l4,T500,192,3,0.3938607032262855
B-relaxed,last,relaxed,l4,T510,192,3,0.35800269008298824
B-relaxed,last,relaxed,l4,T520,192,3,0.5167458515982919
B-relaxed,last,relaxed,block_mean,all,960,15,0.4669146947536016
B-relaxed,last,relaxed,block_mean,PTM_other,686,15,0.6233415649810997
B-relaxed,last,relaxed,block_mean,PTM_crystalline,274,13,0.12780334048391453
B-relaxed,last,relaxed,block_mean,T400,192,3,0.5318057793968667
B-relaxed,last,relaxed,block_mean,T450,192,3,0.44468146310343093
B-relaxed,last,relaxed,block_mean,T500,192,3,0.4328599580924977
B-relaxed,last,relaxed,block_mean,T510,192,3,0.3782102515372875
B-relaxed,last,relaxed,block_mean,T520,192,3,0.5470160216379251
B-relaxed,constant,relaxed,radial,all,960,15,1.0329565036731463
B-relaxed,constant,relaxed,radial,PTM_other,686,15,1.2039605042821142
B-relaxed,constant,relaxed,radial,PTM_crystalline,274,13,0.6272439378759782
B-relaxed,constant,relaxed,radial,T400,192,3,1.1561987514141947
B-relaxed,constant,relaxed,radial,T450,192,3,1.0627729133702815
B-relaxed,constant,relaxed,radial,T500,192,3,0.9450158327817917
B-relaxed,constant,relaxed,radial,T510,192,3,0.8967818483555068
B-relaxed,constant,relaxed,radial,T520,192,3,1.1040131724439561
B-relaxed,constant,relaxed,l2,all,960,15,1.0919960155307005
B-relaxed,constant,relaxed,l2,PTM_other,686,15,1.450211281726022
B-relaxed,constant,relaxed,l2,PTM_crystalline,274,13,0.26168850916928177
B-relaxed,constant,relaxed,l2,T400,192,3,1.1270362283491218
B-relaxed,constant,relaxed,l2,T450,192,3,1.060144254937768
B-relaxed,constant,relaxed,l2,T500,192,3,1.062315901974216
B-relaxed,constant,relaxed,l2,T510,192,3,0.8834249169643347
B-relaxed,constant,relaxed,l2,T520,192,3,1.3270587754280614
B-relaxed,constant,relaxed,l4,all,960,15,0.8571950663502017
B-relaxed,constant,relaxed,l4,PTM_other,686,15,0.9604200017670108
B-relaxed,constant,relaxed,l4,PTM_crystalline,274,13,0.5837207829962027
B-relaxed,constant,relaxed,l4,T400,192,3,0.862510718870908
B-relaxed,constant,relaxed,l4,T450,192,3,0.8160301084863022
B-relaxed,constant,relaxed,l4,T500,192,3,0.7714831891935318
B-relaxed,constant,relaxed,l4,T510,192,3,0.782148519802528
B-relaxed,constant,relaxed,l4,T520,192,3,1.0538027953977387
C-relaxed-teacher,initial,observed,radial,all,960,15,0.2983267236539784
C-relaxed-teacher,initial,observed,radial,PTM_other,686,15,0.34445724413524975
C-relaxed-teacher,initial,observed,radial,PTM_crystalline,274,13,0.22741631313789049
C-relaxed-teacher,initial,observed,radial,T400,192,3,0.3074398345003525
C-relaxed-teacher,initial,observed,radial,T450,192,3,0.27703683022991754
C-relaxed-teacher,initial,observed,radial,T500,192,3,0.3263727468826497
C-relaxed-teacher,initial,observed,radial,T510,192,3,0.2690579952128852
C-relaxed-teacher,initial,observed,radial,T520,192,3,0.3117262114440867
C-relaxed-teacher,initial,observed,l2,all,960,15,0.8076982187281828
C-relaxed-teacher,initial,observed,l2,PTM_other,686,15,1.051380202524798
C-relaxed-teacher,initial,observed,l2,PTM_crystalline,274,13,0.2715370152978884
C-relaxed-teacher,initial,observed,l2,T400,192,3,0.8677719819825142
C-relaxed-teacher,initial,observed,l2,T450,192,3,0.7209495064453222
C-relaxed-teacher,initial,observed,l2,T500,192,3,0.7585309656763759
C-relaxed-teacher,initial,observed,l2,T510,192,3,0.6921894451855527
C-relaxed-teacher,initial,observed,l2,T520,192,3,0.999049194351149
C-relaxed-teacher,initial,observed,l4,all,960,15,0.5654695626619893
C-relaxed-teacher,initial,observed,l4,PTM_other,686,15,0.676659851460339
C-relaxed-teacher,initial,observed,l4,PTM_crystalline,274,13,0.34580080232708904
C-relaxed-teacher,initial,observed,l4,T400,192,3,0.5960035098250955
C-relaxed-teacher,initial,observed,l4,T450,192,3,0.5240937056951225
C-relaxed-teacher,initial,observed,l4,T500,192,3,0.5545166002314847
C-relaxed-teacher,initial,observed,l4,T510,192,3,0.4622483602918994
C-relaxed-teacher,initial,observed,l4,T520,192,3,0.6904856372663439
C-relaxed-teacher,initial,observed,block_mean,all,960,15,0.5571648518322035
C-relaxed-teacher,initial,observed,block_mean,PTM_other,686,15,0.6908324557328618
C-relaxed-teacher,initial,observed,block_mean,PTM_crystalline,274,13,0.2815847151496679
C-relaxed-teacher,initial,observed,block_mean,T400,192,3,0.590405128352965
C-relaxed-teacher,initial,observed,block_mean,T450,192,3,0.507360025056793
C-relaxed-teacher,initial,observed,block_mean,T500,192,3,0.5464734541407477
C-relaxed-teacher,initial,observed,block_mean,T510,192,3,0.47449861790907255
C-relaxed-teacher,initial,observed,block_mean,T520,192,3,0.6670870337014396
C-relaxed-teacher,last,observed,radial,all,960,15,0.25408532005773543
C-relaxed-teacher,last,observed,radial,PTM_other,686,15,0.29537490879073053
C-relaxed-teacher,last,observed,radial,PTM_crystalline,274,13,0.20734415248563415
C-relaxed-teacher,last,observed,radial,T400,192,3,0.26838157686870545
C-relaxed-teacher,last,observed,radial,T450,192,3,0.23403153035906143
C-relaxed-teacher,last,observed,radial,T500,192,3,0.27730982905874646
C-relaxed-teacher,last,observed,radial,T510,192,3,0.2200829123321455
C-relaxed-teacher,last,observed,radial,T520,192,3,0.2706207516700185
C-relaxed-teacher,last,observed,l2,all,960,15,0.7818090120582686
C-relaxed-teacher,last,observed,l2,PTM_other,686,15,1.0170418514762252
C-relaxed-teacher,last,observed,l2,PTM_crystalline,274,13,0.27025768475288464
C-relaxed-teacher,last,observed,l2,T400,192,3,0.8386592329091702
C-relaxed-teacher,last,observed,l2,T450,192,3,0.6975527783991614
C-relaxed-teacher,last,observed,l2,T500,192,3,0.7306354364845902
C-relaxed-teacher,last,observed,l2,T510,192,3,0.674765277809153
C-relaxed-teacher,last,observed,l2,T520,192,3,0.9674323346892683
C-relaxed-teacher,last,observed,l4,all,960,15,0.5434734862394787
C-relaxed-teacher,last,observed,l4,PTM_other,686,15,0.6552790461887309
C-relaxed-teacher,last,observed,l4,PTM_crystalline,274,13,0.31552614137132834
C-relaxed-teacher,last,observed,l4,T400,192,3,0.5735114177999396
C-relaxed-teacher,last,observed,l4,T450,192,3,0.5078939133672975
C-relaxed-teacher,last,observed,l4,T500,192,3,0.5313943691726308
C-relaxed-teacher,last,observed,l4,T510,192,3,0.44252797937951976
C-relaxed-teacher,last,observed,l4,T520,192,3,0.6620397514780052
C-relaxed-teacher,last,observed,block_mean,all,960,15,0.5264559514510135
