model,representation,material,status,input_support,checkpoint_step,precision,liquid_order_r2,liquid_topology_r2,boundary_ap,fault_ap,nonbulk_ami,nonbulk_spatial_auc,liquid_rank,future_residual_mse,onset_ap12,onset_brier12,hazard_selected_step,brier_delta,brier_ci_low,brier_ci_high,future_mse_delta,future_ci_low,future_ci_high,family,liquid_order_embedding_nmse,liquid_order_density_nmse,liquid_order_embedding_neighbor_nmse,liquid_order_retrieval_gain_vs_density,liquid_topology_embedding_nmse,liquid_topology_density_nmse,liquid_topology_embedding_neighbor_nmse,liquid_topology_retrieval_gain_vs_density,nonbulk_boundary_ap,nonbulk_fault_ap
jepa-vic-direct-raw-order,encoder,Al,complete,radius,768,bf16,0.2757536272207896,-258.715789573888,0.5686298362107082,0.40662539684957566,0.10812453873966758,0.55734488787287,2.0630269384520505,1.3389873654494295,0.14943817553802202,0.03036357027438566,256,-0.0012005027451895346,-0.0059853961990247095,0.002991527074641621,0.006963976224263509,-0.007946346600850423,0.02314234097798665,neighborhood,0.7247616471754806,0.95821729147284,1.6231680884284954,0.22450414809577546,1.7251006163720792,1.8944419972199713,2.6377356886809356,0.16313417465365498,0.5807830587102365,0.7783593467647474
jepa-sig-direct-raw-order,encoder,Al,complete,radius,768,bf16,0.28714002172152203,-172.116515164574,0.5840591242116822,0.5325009144393817,0.14318474210443474,0.5542176092050171,2.0635093735256844,1.3254417668523577,0.12223282145186852,0.031845133142722595,256,0.0002810601231474027,-0.002938739386525775,0.004148324353703582,-0.006581652164459229,-0.012825825909773509,-0.00043814251820246475,neighborhood,0.7131977224128963,0.95821729147284,1.6162503163335422,0.23142192019072874,1.7018433628239567,1.8944419972199713,2.620217201707424,0.180652661627167,0.6055709794036397,0.8269154963511766
jepa-none-mlp-order,encoder,Al,complete,radius,768,bf16,0.28970619042714435,-180.33030260602632,0.5976691628699212,0.5174044776253188,0.13621661623294137,0.5558081289662093,1.8761718006072996,1.3255131111295972,0.11231398818097156,0.031131184710434773,256,-0.0004328883091404242,-0.0033407548209276796,0.0024097475028487317,-0.00651028553644816,-0.012596366206804911,-0.0010367055733998623,neighborhood,0.7106525350186984,0.95821729147284,1.6157339223103502,0.23193831421392072,1.697309489884628,1.8944419972199713,2.6343388774375653,0.16653098589702556,0.6164014767372105,0.8292216215290698
jepa-epi-mlp-order,encoder,Al,complete,radius,768,bf16,0.3011292815208435,-183.9927973151207,0.6054337047933996,0.5109953332553774,0.14289895609760575,0.5569246743307333,1.853921032342636,1.326405033756358,0.11241452800792158,0.031153968931440866,256,-0.0004101040881343382,-0.0032951056662585457,0.002421702040953009,-0.005618385473887126,-0.011213396688302358,-0.0003795868158340478,neighborhood,0.6992682797537767,0.95821729147284,1.61246216201136,0.23521007451291087,1.6822175237868782,1.8944419972199713,2.6309411680593904,0.16992869527520008,0.6226531643771915,0.8243801921187193
jepa-sig-mlp-order,encoder,Al,complete,radius,768,bf16,0.2914675573507945,-182.4650957658887,0.6007090593874889,0.5161628983768268,0.1415977742871303,0.5554070699650145,1.8860285479737475,1.3259197149289927,0.11286834069402449,0.031060840704424327,256,-0.0005032323151508747,-0.003400854581985506,0.0022647595625633014,-0.006103674570719401,-0.012193857232729593,-0.0007048904895782508,neighborhood,0.7088737293247803,0.95821729147284,1.615471259656461,0.23220097686780963,1.6974083373718198,1.8944419972199713,2.6351437264552344,0.1657261368793562,0.6182793631434024,0.8302009985903303
jepa-vic-mlp-order,encoder,Al,complete,radius,768,bf16,0.27994592984517414,-167.69139935572943,0.5871030882673521,0.4470831407134423,0.12757987470242313,0.5581581318025218,1.7540344423103218,1.3243386719618382,0.13325046021318382,0.030409865560065866,256,-0.0011542074595093364,-0.00409759761003044,0.0013376579050485918,-0.007684739430745443,-0.015783297220865886,-0.00048246880372365567,neighborhood,0.7204437826594289,0.95821729147284,1.6370437948578196,0.21062844166645123,1.7127706906220783,1.8944419972199713,2.6507508611922916,0.15011900214229898,0.6023449020032007,0.8191468788851035
jepa-sig-mlp-no-order,encoder,Al,complete,radius,768,bf16,0.2927047212918599,-179.97498758633932,0.6038480250680288,0.5437930352436571,0.13942724108629134,0.5552599201524365,1.784980761373447,1.3267021093420528,0.1089987559819524,0.031334892741548735,256,-0.00022918027802645182,-0.003183678495022298,0.0027129631435303335,-0.005321304003397624,-0.011478468577067056,0.00017949759960174202,neighborhood,0.7076602348094333,0.95821729147284,1.6215166152232101,0.2261556213010607,1.6946206082503128,1.8944419972199713,2.6336841848111447,0.1671856785234457,0.6207376218115438,0.8349139299454638
jepa-epi-mlp-strong-order,encoder,Al,complete,radius,768,bf16,0.3108401993910472,-185.04370110233626,0.6068762073566055,0.5096329887356424,0.14107541773262725,0.5589904151165689,1.8191329387533004,1.3270698804049363,0.10956615243261626,0.031090441202623813,256,-0.00047363181695138373,-0.0033849134565507987,0.002347703269258013,-0.004953511555989583,-0.010831634998321533,0.00033982177575429205,neighborhood,0.6895888187518157,0.95821729147284,1.6088539195867793,0.23881831693749156,1.6752007430336882,1.8944419972199713,2.6383792119545024,0.1624906513800878,0.6230256462686553,0.8193270918497033
jepa-sig-mlp-strong-order,encoder,Al,complete,radius,768,bf16,0.2822447717189789,-172.35646615177393,0.5927073107629738,0.47451728675348026,0.1406417491354905,0.5550707447448117,1.8173797649768044,1.3261877803355067,0.12119663048691542,0.03089593443500772,256,-0.0006681385845674797,-0.003489971158738917,0.0019902511033105426,-0.005835612614949544,-0.012098561724026997,-0.00017995119094849112,neighborhood,0.7181178816524848,0.95821729147284,1.6283918455180224,0.2192803910062485,1.70383639973541,1.8944419972199713,2.654194464111822,0.14667539922276865,0.6093384229000488,0.8262343722843242
jepa-scratch-sig-mlp-order,encoder,Al,complete,radius,768,bf16,0.3423571785291036,-95.3436588421464,0.5817101292521176,0.3776936911837753,0.14267725237372514,0.5654667115893562,1.8051083528178298,1.3264591261511667,0.11373352420162691,0.034054656702247124,256,0.0024905836826719305,-0.0023487899110961777,0.009933951147222803,-0.005564284324645996,-0.010159420371055604,-0.0008956782023112052,neighborhood,0.6582883385963659,0.95821729147284,1.5435600823305091,0.30411215419376164,1.7678810236878482,1.8944419972199713,2.8085494151834425,-0.007679551848852088,0.6010788260567264,0.8134767899595683
jepa-scratch-vic-direct-raw-order,encoder,Al,complete,radius,768,bf16,0.2977796693642934,-88.12070610746741,0.5609517393085398,0.33498461579100847,0.13754605673501755,0.5625353512429405,1.5591094144624738,1.3270815450387694,0.11352434273965253,0.033990888940119326,256,0.0024268159205441298,-0.002228857070375474,0.00961002593213007,-0.004941860834757487,-0.008759117722511292,-0.0006581974029541034,neighborhood,0.7028626968149778,0.95821729147284,1.5414002387858057,0.306271997738465,1.7895605698503445,1.8944419972199713,2.8323749949157304,-0.0315051315811398,0.5769021612844549,0.8176245632823318
