method,source,lag_ps,raw_increment_mse
trained-mean80,28,1.5,1.0536597685053219e-05
trained-mean80,29,1.5,9.277918646701789e-06
trained-mean80,8,3.0,1.0111639362590317e-05
trained-mean80,9,3.0,7.929524136295772e-06
trained-mean80,18,3.0,8.34156475062237e-06
trained-mean80,19,3.0,8.511323337116994e-06
trained-mean80,28,3.0,1.189236736577459e-05
trained-mean80,29,3.0,9.520767899853615e-06
trained-mean80,8,6.0,1.2071543370431405e-05
trained-mean80,9,6.0,8.489911170692772e-06
trained-mean80,18,6.0,1.0925532898815625e-05
trained-mean80,19,6.0,1.2125369693203515e-05
trained-mean80,28,6.0,1.3229619697125686e-05
trained-mean80,29,6.0,1.0923594661123161e-05
trained-mean80,8,9.0,1.77602086937571e-05
trained-mean80,9,9.0,7.189210713386548e-06
trained-mean80,18,9.0,1.3939316498073865e-05
trained-mean80,19,9.0,1.4035141644792428e-05
trained-mean80,28,9.0,1.5031431220999329e-05
trained-mean80,29,9.0,1.0780726434194777e-05
trained-mean80,8,12.0,2.705159145545763e-05
trained-mean80,9,12.0,6.2564695286728116e-06
trained-mean80,18,12.0,1.956265348520556e-05
trained-mean80,19,12.0,1.6409340297418846e-05
trained-mean80,28,12.0,2.1445324885468943e-05
trained-mean80,29,12.0,1.0147066401163859e-05
trained-halo_inner,8,0.75,1.1678406903594299e-05
trained-halo_inner,9,0.75,1.2299629940376003e-05
trained-halo_inner,18,0.75,1.2452641164574458e-05
trained-halo_inner,19,0.75,1.4345141653781008e-05
trained-halo_inner,28,0.75,1.754320131811045e-05
trained-halo_inner,29,0.75,1.6317289590374507e-05
trained-halo_inner,8,1.5,1.3780199541333206e-05
trained-halo_inner,9,1.5,1.3834996030661659e-05
trained-halo_inner,18,1.5,1.2751890684224704e-05
trained-halo_inner,19,1.5,1.524494322638648e-05
trained-halo_inner,28,1.5,1.9382018035791063e-05
trained-halo_inner,29,1.5,1.90709587003172e-05
trained-halo_inner,8,3.0,1.9908328562046107e-05
trained-halo_inner,9,3.0,1.508361294244445e-05
trained-halo_inner,18,3.0,1.536709444834836e-05
trained-halo_inner,19,3.0,1.8357852671984137e-05
trained-halo_inner,28,3.0,2.401151439331876e-05
trained-halo_inner,29,3.0,1.896452276399833e-05
trained-halo_inner,8,6.0,2.8298706346981043e-05
trained-halo_inner,9,6.0,1.6560246266367535e-05
trained-halo_inner,18,6.0,2.2750374680772723e-05
trained-halo_inner,19,6.0,2.73198384606139e-05
trained-halo_inner,28,6.0,2.6435668496924012e-05
trained-halo_inner,29,6.0,2.147882097561818e-05
trained-halo_inner,8,9.0,4.58780155328599e-05
trained-halo_inner,9,9.0,1.578959705560663e-05
trained-halo_inner,18,9.0,3.299852938892617e-05
trained-halo_inner,19,9.0,3.261170376008174e-05
trained-halo_inner,28,9.0,2.967007802665745e-05
trained-halo_inner,29,9.0,2.168057660847151e-05
trained-halo_inner,8,12.0,5.904782697761804e-05
trained-halo_inner,9,12.0,1.0892526342687163e-05
trained-halo_inner,18,12.0,5.82566563328733e-05
trained-halo_inner,19,12.0,4.3600978730191154e-05
trained-halo_inner,28,12.0,4.28104893965882e-05
trained-halo_inner,29,12.0,2.2352285781625868e-05
trained-halo_center,8,0.75,0.00019238769459360767
trained-halo_center,9,0.75,0.00018070831334555503
trained-halo_center,18,0.75,0.0001858535329583842
trained-halo_center,19,0.75,0.0002213998026697981
trained-halo_center,28,0.75,0.00023428193473327462
trained-halo_center,29,0.75,0.00023335208895254632
trained-halo_center,8,1.5,0.00020141751637541588
trained-halo_center,9,1.5,0.00019756544726207465
trained-halo_center,18,1.5,0.00019917956885997408
trained-halo_center,19,1.5,0.0002089805210654669
trained-halo_center,28,1.5,0.0002565587143842264
trained-halo_center,29,1.5,0.00024548722378430924
trained-halo_center,8,3.0,0.00024907785533198563
trained-halo_center,9,3.0,0.00021332586459995619
trained-halo_center,18,3.0,0.00024253025083461788
trained-halo_center,19,3.0,0.00024034221913153944
trained-halo_center,28,3.0,0.0002739814420932534
trained-halo_center,29,3.0,0.00027343668577376937
trained-halo_center,8,6.0,0.00026220631655618373
trained-halo_center,9,6.0,0.00023126227235728916
trained-halo_center,18,6.0,0.0002707333237366032
trained-halo_center,19,6.0,0.0002985614418324006
trained-halo_center,28,6.0,0.0003192263130055994
trained-halo_center,29,6.0,0.0002714248346466276
trained-halo_center,8,9.0,0.0003044864345714421
trained-halo_center,9,9.0,0.000212793105091456
trained-halo_center,18,9.0,0.00034143670613668415
trained-halo_center,19,9.0,0.00031918766856644994
trained-halo_center,28,9.0,0.00033151300743501194
trained-halo_center,29,9.0,0.00028014024553386
trained-halo_center,8,12.0,0.00032910852501331667
trained-halo_center,9,12.0,0.0002488298892481593
trained-halo_center,18,12.0,0.0004409053164694361
trained-halo_center,19,12.0,0.00045313031641362896
trained-halo_center,28,12.0,0.00042151308784762207
trained-halo_center,29,12.0,0.0002566774535964167
