candidate,reference,comparison,normalization,lag_ps,squared_increment_ratio,ratio_ci95_low,ratio_ci95_high,rms_increment_ratio
trained-halo_inner,trained-mean80,architecture,within_frame,9.0,0.7608549909463999,0.6956247671387289,0.8192463155606401,0.8722700218088433
trained-halo_inner,trained-mean80,architecture,within_frame,12.0,0.7878228481030475,0.6906110127304863,0.8995089631205712,0.8875938531237401
trained-halo_center,trained-mean80,architecture,total,0.75,2.8064175346998534,2.6432485093657876,2.9917092152317952,1.6752365608175621
trained-halo_center,trained-mean80,architecture,total,1.5,2.7055387979524435,2.589090897418348,2.812998209782775,1.644852211583899
trained-halo_center,trained-mean80,architecture,total,3.0,2.690700272756938,2.497193014963821,2.8871343928727207,1.6403354147115576
trained-halo_center,trained-mean80,architecture,total,6.0,2.476457679435055,2.3522384512775183,2.600821265992972,1.5736764849978075
trained-halo_center,trained-mean80,architecture,total,9.0,2.3069081745891107,2.0182223303830797,2.6146851317965343,1.5188509388972673
trained-halo_center,trained-mean80,architecture,total,12.0,2.163502624387459,1.658641390283914,2.854467622826247,1.470884979999272
trained-halo_center,trained-mean80,architecture,within_frame,0.75,1.9660636696214857,1.851753988773812,2.095871596229927,1.402163923948083
trained-halo_center,trained-mean80,architecture,within_frame,1.5,1.8953920689405113,1.8138133359782875,1.97067382689215,1.3767323882804934
trained-halo_center,trained-mean80,architecture,within_frame,3.0,1.8849967927790232,1.7494333619455513,2.022610666074255,1.3729518537731114
trained-halo_center,trained-mean80,architecture,within_frame,6.0,1.7349070167540548,1.647884003061591,1.8220311621572791,1.3171586908015507
trained-halo_center,trained-mean80,architecture,within_frame,9.0,1.6161274276308084,1.4138856930315455,1.831743631004081,1.2712700057937372
trained-halo_center,trained-mean80,architecture,within_frame,12.0,1.5156632455240988,1.1619776950675438,1.999725635960901,1.2311227581050148
trained-mean80,frozen-mean80,continuation,total,0.75,1.0034168143083009,0.9986246434389898,1.008751157662804,1.0017069503144624
trained-mean80,frozen-mean80,continuation,total,1.5,1.0006468833975206,0.9955893381946104,1.0054594408530237,1.0003233894084056
trained-mean80,frozen-mean80,continuation,total,3.0,1.0023534175974271,0.9964325236950928,1.0096065668073066,1.0011760172903799
trained-mean80,frozen-mean80,continuation,total,6.0,1.0010429132784215,0.9961128487223349,1.0073013156271085,1.0005213207515478
