domain,step,input_domain,target_domain,representation,family,selected_step,ridge_tuning_mse,selected_tuning_mse,probe,population,root,standardized_rmse
pilot,1000,melt,melt,exported,radial,4900,0.11238907047142117,0.11190159566627356,residual,liquid,independent_melt_200290231,0.3344152305933523
pilot,1000,melt,melt,exported,radial,4900,0.11238907047142117,0.11190159566627356,residual,liquid,independent_melt_294342775,0.3378936317947281
pilot,1000,melt,melt,exported,radial,4900,0.11238907047142117,0.11190159566627356,residual,liquid,independent_melt_511618678,0.3302078185718083
pilot,1000,melt,melt,exported,radial,4900,0.11238907047142117,0.11190159566627356,residual,liquid,independent_melt_542619615,0.29650121176762045
pilot,1000,melt,melt,exported,radial,4900,0.11238907047142117,0.11190159566627356,residual,liquid,independent_melt_746071054,0.33418591509563944
pilot,1000,melt,melt,exported,radial,4900,0.11238907047142117,0.11190159566627356,residual,liquid,independent_melt_76681035,0.3444353464309239
pilot,1000,melt,melt,exported,rich,2200,0.5137783928792503,0.513726757107381,ridge,all,independent_melt_200290231,0.6914850127246903
pilot,1000,melt,melt,exported,rich,2200,0.5137783928792503,0.513726757107381,ridge,all,independent_melt_294342775,0.7157808246682966
pilot,1000,melt,melt,exported,rich,2200,0.5137783928792503,0.513726757107381,ridge,all,independent_melt_511618678,0.6826068274350576
pilot,1000,melt,melt,exported,rich,2200,0.5137783928792503,0.513726757107381,ridge,all,independent_melt_542619615,0.6836314699500546
pilot,1000,melt,melt,exported,rich,2200,0.5137783928792503,0.513726757107381,ridge,all,independent_melt_746071054,0.7157464533993019
pilot,1000,melt,melt,exported,rich,2200,0.5137783928792503,0.513726757107381,ridge,all,independent_melt_76681035,0.6968464760027187
pilot,1000,melt,melt,exported,rich,2200,0.5137783928792503,0.513726757107381,ridge,liquid,independent_melt_200290231,0.6914850127246903
pilot,1000,melt,melt,exported,rich,2200,0.5137783928792503,0.513726757107381,ridge,liquid,independent_melt_294342775,0.7157808246682966
pilot,1000,melt,melt,exported,rich,2200,0.5137783928792503,0.513726757107381,ridge,liquid,independent_melt_511618678,0.6826068274350576
pilot,1000,melt,melt,exported,rich,2200,0.5137783928792503,0.513726757107381,ridge,liquid,independent_melt_542619615,0.6836314699500546
pilot,1000,melt,melt,exported,rich,2200,0.5137783928792503,0.513726757107381,ridge,liquid,independent_melt_746071054,0.7157464533993019
pilot,1000,melt,melt,exported,rich,2200,0.5137783928792503,0.513726757107381,ridge,liquid,independent_melt_76681035,0.6968464760027187
pilot,1000,melt,melt,exported,rich,2200,0.5137783928792503,0.513726757107381,residual,all,independent_melt_200290231,0.6914294128943577
pilot,1000,melt,melt,exported,rich,2200,0.5137783928792503,0.513726757107381,residual,all,independent_melt_294342775,0.7159070053901341
pilot,1000,melt,melt,exported,rich,2200,0.5137783928792503,0.513726757107381,residual,all,independent_melt_511618678,0.6825786740309707
pilot,1000,melt,melt,exported,rich,2200,0.5137783928792503,0.513726757107381,residual,all,independent_melt_542619615,0.6836737852561261
pilot,1000,melt,melt,exported,rich,2200,0.5137783928792503,0.513726757107381,residual,all,independent_melt_746071054,0.7161723648738425
pilot,1000,melt,melt,exported,rich,2200,0.5137783928792503,0.513726757107381,residual,all,independent_melt_76681035,0.6971962684931564
pilot,1000,melt,melt,exported,rich,2200,0.5137783928792503,0.513726757107381,residual,liquid,independent_melt_200290231,0.6914294128943577
pilot,1000,melt,melt,exported,rich,2200,0.5137783928792503,0.513726757107381,residual,liquid,independent_melt_294342775,0.7159070053901341
pilot,1000,melt,melt,exported,rich,2200,0.5137783928792503,0.513726757107381,residual,liquid,independent_melt_511618678,0.6825786740309707
