domain,step,input_domain,target_domain,representation,family,selected_step,ridge_tuning_mse,selected_tuning_mse,probe,population,standardized_rmse
paired_relaxed,0,observed,observed,pooled,angular,200,0.8965483258635771,0.8910892743914811,residual,all,0.9556094949036564
paired_relaxed,0,observed,observed,pooled,angular,200,0.8965483258635771,0.8910892743914811,residual,liquid,0.9556094949036564
paired_relaxed,0,observed,observed,pooled,radial,200,0.07965800156942662,0.07736634311109966,ridge,all,0.2786361096360221
paired_relaxed,0,observed,observed,pooled,radial,200,0.07965800156942662,0.07736634311109966,ridge,liquid,0.2786361096360221
paired_relaxed,0,observed,observed,pooled,radial,200,0.07965800156942662,0.07736634311109966,residual,all,0.2734721668132028
paired_relaxed,0,observed,observed,pooled,radial,200,0.07965800156942662,0.07736634311109966,residual,liquid,0.2734721668132028
paired_relaxed,0,observed,observed,pooled,rich,300,0.3949164453206915,0.3937281335253416,ridge,all,0.6009391475578767
paired_relaxed,0,observed,observed,pooled,rich,300,0.3949164453206915,0.3937281335253416,ridge,liquid,0.6009391475578767
paired_relaxed,0,observed,observed,pooled,rich,300,0.3949164453206915,0.3937281335253416,residual,all,0.601742604595419
paired_relaxed,0,observed,observed,pooled,rich,300,0.3949164453206915,0.3937281335253416,residual,liquid,0.601742604595419
paired_relaxed,0,observed,relaxed,exported,angular,300,0.8008438725564309,0.7979648356269472,ridge,all,0.9085298776387863
paired_relaxed,0,observed,relaxed,exported,angular,300,0.8008438725564309,0.7979648356269472,ridge,liquid,0.9085298776387863
paired_relaxed,0,observed,relaxed,exported,angular,300,0.8008438725564309,0.7979648356269472,residual,all,0.9104778815194872
paired_relaxed,0,observed,relaxed,exported,angular,300,0.8008438725564309,0.7979648356269472,residual,liquid,0.9104778815194872
paired_relaxed,0,observed,relaxed,exported,radial,0,0.5029736433768814,0.5029736433768814,ridge,all,0.7273087619306708
paired_relaxed,0,observed,relaxed,exported,radial,0,0.5029736433768814,0.5029736433768814,ridge,liquid,0.7273087619306708
paired_relaxed,0,observed,relaxed,exported,radial,0,0.5029736433768814,0.5029736433768814,residual,all,0.7273087619306708
paired_relaxed,0,observed,relaxed,exported,radial,0,0.5029736433768814,0.5029736433768814,residual,liquid,0.7273087619306708
paired_relaxed,0,observed,relaxed,exported,rich,0,0.5573354474061869,0.5573354474061869,ridge,all,0.7266113800761503
paired_relaxed,0,observed,relaxed,exported,rich,0,0.5573354474061869,0.5573354474061869,ridge,liquid,0.7266113800761503
paired_relaxed,0,observed,relaxed,exported,rich,0,0.5573354474061869,0.5573354474061869,residual,all,0.7266113800761503
paired_relaxed,0,observed,relaxed,exported,rich,0,0.5573354474061869,0.5573354474061869,residual,liquid,0.7266113800761503
paired_relaxed,0,observed,relaxed,pooled,angular,300,0.8109888414179117,0.8083115525243386,ridge,all,0.9113223538243376
paired_relaxed,0,observed,relaxed,pooled,angular,300,0.8109888414179117,0.8083115525243386,ridge,liquid,0.9113223538243376
paired_relaxed,0,observed,relaxed,pooled,angular,300,0.8109888414179117,0.8083115525243386,residual,all,0.9116423502381535
paired_relaxed,0,observed,relaxed,pooled,angular,300,0.8109888414179117,0.8083115525243386,residual,liquid,0.9116423502381535
paired_relaxed,0,observed,relaxed,pooled,radial,0,0.49553419255658704,0.49553419255658704,ridge,all,0.7250151599887934
paired_relaxed,0,observed,relaxed,pooled,radial,0,0.49553419255658704,0.49553419255658704,ridge,liquid,0.7250151599887934
paired_relaxed,0,observed,relaxed,pooled,radial,0,0.49553419255658704,0.49553419255658704,residual,all,0.7250151599887934
paired_relaxed,0,observed,relaxed,pooled,radial,0,0.49553419255658704,0.49553419255658704,residual,liquid,0.7250151599887934
paired_relaxed,0,observed,relaxed,pooled,rich,300,0.5560291573801048,0.5526045173642594,ridge,all,0.7249146299129832
paired_relaxed,0,observed,relaxed,pooled,rich,300,0.5560291573801048,0.5526045173642594,ridge,liquid,0.7249146299129832
paired_relaxed,0,observed,relaxed,pooled,rich,300,0.5560291573801048,0.5526045173642594,residual,all,0.7240577445310079
paired_relaxed,0,observed,relaxed,pooled,rich,300,0.5560291573801048,0.5526045173642594,residual,liquid,0.7240577445310079
paired_relaxed,0,relaxed,relaxed,exported,angular,0,0.6954681873497552,0.6954681873497552,ridge,all,0.853347856982233
paired_relaxed,0,relaxed,relaxed,exported,angular,0,0.6954681873497552,0.6954681873497552,ridge,liquid,0.853347856982233
paired_relaxed,0,relaxed,relaxed,exported,angular,0,0.6954681873497552,0.6954681873497552,residual,all,0.853347856982233
paired_relaxed,0,relaxed,relaxed,exported,angular,0,0.6954681873497552,0.6954681873497552,residual,liquid,0.853347856982233
paired_relaxed,0,relaxed,relaxed,exported,radial,600,0.04988200662856432,0.049392941229544574,ridge,all,0.22557018853928976
paired_relaxed,0,relaxed,relaxed,exported,radial,600,0.04988200662856432,0.049392941229544574,ridge,liquid,0.22557018853928976
paired_relaxed,0,relaxed,relaxed,exported,radial,600,0.04988200662856432,0.049392941229544574,residual,all,0.22730058260758743
paired_relaxed,0,relaxed,relaxed,exported,radial,600,0.04988200662856432,0.049392941229544574,residual,liquid,0.22730058260758743
paired_relaxed,0,relaxed,relaxed,exported,rich,200,0.3228358692280915,0.32278445482087714,ridge,all,0.5335344025574212
paired_relaxed,0,relaxed,relaxed,exported,rich,200,0.3228358692280915,0.32278445482087714,ridge,liquid,0.5335344025574212
paired_relaxed,0,relaxed,relaxed,exported,rich,200,0.3228358692280915,0.32278445482087714,residual,all,0.5335721644717483
paired_relaxed,0,relaxed,relaxed,exported,rich,200,0.3228358692280915,0.32278445482087714,residual,liquid,0.5335721644717483
paired_relaxed,0,relaxed,relaxed,pooled,angular,200,0.7010882972346246,0.6966752020890105,ridge,all,0.8498028104048584
paired_relaxed,0,relaxed,relaxed,pooled,angular,200,0.7010882972346246,0.6966752020890105,ridge,liquid,0.8498028104048584
paired_relaxed,0,relaxed,relaxed,pooled,angular,200,0.7010882972346246,0.6966752020890105,residual,all,0.8498402728857742
paired_relaxed,0,relaxed,relaxed,pooled,angular,200,0.7010882972346246,0.6966752020890105,residual,liquid,0.8498402728857742
paired_relaxed,0,relaxed,relaxed,pooled,radial,300,0.05374485383335442,0.051092325538776844,ridge,all,0.22512588507646902
paired_relaxed,0,relaxed,relaxed,pooled,radial,300,0.05374485383335442,0.051092325538776844,ridge,liquid,0.22512588507646902
paired_relaxed,0,relaxed,relaxed,pooled,radial,300,0.05374485383335442,0.051092325538776844,residual,all,0.22019196748652015
paired_relaxed,0,relaxed,relaxed,pooled,radial,300,0.05374485383335442,0.051092325538776844,residual,liquid,0.22019196748652015
paired_relaxed,0,relaxed,relaxed,pooled,rich,300,0.32945544858522596,0.31951297956051294,ridge,all,0.5400787247126422
paired_relaxed,0,relaxed,relaxed,pooled,rich,300,0.32945544858522596,0.31951297956051294,ridge,liquid,0.5400787247126422
paired_relaxed,0,relaxed,relaxed,pooled,rich,300,0.32945544858522596,0.31951297956051294,residual,all,0.5362714858575988
paired_relaxed,0,relaxed,relaxed,pooled,rich,300,0.32945544858522596,0.31951297956051294,residual,liquid,0.5362714858575988
paired_relaxed,10000,observed,observed,exported,angular,300,0.8956016018760341,0.893226611162369,ridge,all,0.9500591153035287
paired_relaxed,10000,observed,observed,exported,angular,300,0.8956016018760341,0.893226611162369,ridge,liquid,0.9500591153035287
paired_relaxed,10000,observed,observed,exported,angular,300,0.8956016018760341,0.893226611162369,residual,all,0.9497110051927459
paired_relaxed,10000,observed,observed,exported,angular,300,0.8956016018760341,0.893226611162369,residual,liquid,0.9497110051927459
paired_relaxed,10000,observed,observed,exported,radial,1800,0.10969734995004503,0.10948867414759335,ridge,all,0.33111221753737013
paired_relaxed,10000,observed,observed,exported,radial,1800,0.10969734995004503,0.10948867414759335,ridge,liquid,0.33111221753737013
paired_relaxed,10000,observed,observed,exported,radial,1800,0.10969734995004503,0.10948867414759335,residual,all,0.33113206962187974
paired_relaxed,10000,observed,observed,exported,radial,1800,0.10969734995004503,0.10948867414759335,residual,liquid,0.33113206962187974
paired_relaxed,10000,observed,observed,exported,rich,1800,0.4121866336057549,0.41192640938642244,ridge,all,0.6121876793253326
paired_relaxed,10000,observed,observed,exported,rich,1800,0.4121866336057549,0.41192640938642244,ridge,liquid,0.6121876793253326
paired_relaxed,10000,observed,observed,exported,rich,1800,0.4121866336057549,0.41192640938642244,residual,all,0.6122839470097684
paired_relaxed,10000,observed,observed,exported,rich,1800,0.4121866336057549,0.41192640938642244,residual,liquid,0.6122839470097684
paired_relaxed,10000,observed,observed,pooled,angular,200,0.8857357438818243,0.8791246856217907,ridge,all,0.9467705129321956
paired_relaxed,10000,observed,observed,pooled,angular,200,0.8857357438818243,0.8791246856217907,ridge,liquid,0.9467705129321956
paired_relaxed,10000,observed,observed,pooled,angular,200,0.8857357438818243,0.8791246856217907,residual,all,0.9463341976211435
paired_relaxed,10000,observed,observed,pooled,angular,200,0.8857357438818243,0.8791246856217907,residual,liquid,0.9463341976211435
paired_relaxed,10000,observed,observed,pooled,radial,100,0.08973989871004837,0.08901869730604164,ridge,all,0.2922373478236172
paired_relaxed,10000,observed,observed,pooled,radial,100,0.08973989871004837,0.08901869730604164,ridge,liquid,0.2922373478236172
paired_relaxed,10000,observed,observed,pooled,radial,100,0.08973989871004837,0.08901869730604164,residual,all,0.2885776999914531
paired_relaxed,10000,observed,observed,pooled,radial,100,0.08973989871004837,0.08901869730604164,residual,liquid,0.2885776999914531
paired_relaxed,10000,observed,observed,pooled,rich,100,0.3970192848385992,0.39639395437202396,ridge,all,0.6014064356221741
paired_relaxed,10000,observed,observed,pooled,rich,100,0.3970192848385992,0.39639395437202396,ridge,liquid,0.6014064356221741
paired_relaxed,10000,observed,observed,pooled,rich,100,0.3970192848385992,0.39639395437202396,residual,all,0.6004296085919116
paired_relaxed,10000,observed,observed,pooled,rich,100,0.3970192848385992,0.39639395437202396,residual,liquid,0.6004296085919116
paired_relaxed,10000,observed,relaxed,exported,angular,300,0.7968991362208959,0.7933843535062853,ridge,all,0.9114648693621903
paired_relaxed,10000,observed,relaxed,exported,angular,300,0.7968991362208959,0.7933843535062853,ridge,liquid,0.9114648693621903
paired_relaxed,10000,observed,relaxed,exported,angular,300,0.7968991362208959,0.7933843535062853,residual,all,0.912230539022473
paired_relaxed,10000,observed,relaxed,exported,angular,300,0.7968991362208959,0.7933843535062853,residual,liquid,0.912230539022473
paired_relaxed,10000,observed,relaxed,exported,radial,500,0.5248378793528458,0.5242262682725531,ridge,all,0.7296926861636058
paired_relaxed,10000,observed,relaxed,exported,radial,500,0.5248378793528458,0.5242262682725531,ridge,liquid,0.7296926861636058
paired_relaxed,10000,observed,relaxed,exported,radial,500,0.5248378793528458,0.5242262682725531,residual,all,0.7296029668843804
paired_relaxed,10000,observed,relaxed,exported,radial,500,0.5248378793528458,0.5242262682725531,residual,liquid,0.7296029668843804
paired_relaxed,10000,observed,relaxed,exported,rich,300,0.5816721814206599,0.5816059079453592,ridge,all,0.7325696259601171
paired_relaxed,10000,observed,relaxed,exported,rich,300,0.5816721814206599,0.5816059079453592,ridge,liquid,0.7325696259601171
paired_relaxed,10000,observed,relaxed,exported,rich,300,0.5816721814206599,0.5816059079453592,residual,all,0.7326873441220966
