source,temperature_K,frame,field,distance_lo_A,distance_hi_A,pairs,distance_mean_A,p1,p2,shuffle_p1,shuffle_p2,excess_p1,excess_p2,overlap80,valid_centers,centers
1009,520.0,384,centroid_support,8,12,6572,9.924328865603409,0.43653639267310484,0.1343577861194821,0.17864169889356055,0.04249273669826827,0.2578946937795443,0.09186504942121382,0.11531307060255631,320,320
1009,520.0,384,centroid_support,12,18,2346,13.384747021385772,0.22479525991055263,0.028278356553167967,0.18007160934034255,0.03861868611892748,0.04472365057021,-0.010340329565759507,0.006511082693947143,320,320
1009,520.0,384,centroid_support,18,26,418,21.71781476429703,-0.009352530690276315,0.024033203046390148,0.17614946085972913,0.038808618388499666,-0.1855019915500054,-0.014775415342109521,0.0,320,320
1009,520.0,384,centroid_support,26,40,2366,35.78033735668992,-0.11737530017041964,-0.05855053559778839,0.1746749988153195,0.04337924743650601,-0.2920502989857391,-0.10192978303429441,0.0,320,320
1009,520.0,384,centroid_support,40,80,31181,53.442291315985194,0.03571168500284183,-0.04419359783576906,0.1745894646731541,0.04115333621466915,-0.13887777967031228,-0.08534693405043822,0.0,320,320
1009,520.0,384,shape_axis_7A,0,4,314,3.0457045299176557,0.37469136966104927,0.35412478303464034,0.2389416739596728,0.06440084356035891,0.13574969570137652,0.28972393947428143,0.6783837579617835,157,320
1009,520.0,384,shape_axis_7A,4,8,1463,6.314424837212942,0.3685855861152572,0.1926583251766685,0.24183067469277267,0.066144502045004,0.12675491142248452,0.12651382313166454,0.3671223513328776,157,320
1009,520.0,384,shape_axis_7A,8,12,1608,9.95741947739725,0.27508637831509003,0.11427480005085346,0.24407612001108306,0.06811662122101662,0.03101025830400695,0.046158178829836805,0.11393034825870647,157,320
1009,520.0,384,shape_axis_7A,12,18,680,13.476398557218694,0.238298569700128,0.0282681290088004,0.2427406944687067,0.06843861509940309,-0.004442124768578705,-0.04017048609060269,0.006507352941176472,157,320
1009,520.0,384,shape_axis_7A,18,26,129,21.078967385221755,0.2823232540113162,-0.004170674306664264,0.2374678709895102,0.06734902802674196,0.044855383021806035,-0.07151970233340622,0.0,157,320
1009,520.0,384,shape_axis_7A,26,40,594,36.44078905382409,0.22494000575376707,0.16878650482496196,0.2518435157803079,0.06955563990141897,-0.0269035100265408,0.09923086492354301,0.0,157,320
1009,520.0,384,shape_axis_7A,40,80,7322,52.74244791332659,0.20939936052653682,0.0168262319326451,0.24228329440063145,0.0652448025492218,-0.032883933874094676,-0.0484185706165767,0.0,157,320
