source,temperature_K,field,phase,observations,rms_relative_norm,pairs,valid_pairs,coverage,mean_angle_deg,median_angle_deg,p95_angle_deg,mean_axis_angle_deg,jump60_fraction,flip90_fraction,p1,p2
913,400.0,block2_output/ideal_bivector,FCC,533,0.6142943142163105,527.0,523.0,0.9924098671726755,87.95672376611486,88.60122053744219,153.78331498528266,56.80803749659217,0.7323135755258127,0.491395793499044,0.02912928005346225,0.01273852384225552
913,400.0,block2_output/ideal_bivector,HCP,1,1.7239272470464861,,,,,,,,,,,
913,400.0,block2_output/axial_bivector,unclassified,2670,0.9245264743930485,2663.0,2659.0,0.9984979346601577,79.33057414347842,76.84829753261481,146.40382757363986,56.73994140586167,0.6464836404663408,0.38736367055283943,0.15744718946555133,0.012269869483670376
913,400.0,block2_output/axial_bivector,FCC,533,0.8270490675400746,527.0,525.0,0.9962049335863378,82.51844142736131,80.37876407596086,149.68709240027994,56.88413135946932,0.6666666666666666,0.43238095238095237,0.11052572145331073,0.006871409123502899
913,400.0,block2_output/axial_bivector,HCP,1,0.8365175905014861,,,,,,,,,,,
913,400.0,block2_output/point_numerator,unclassified,2670,0.9038756212424923,2663.0,2647.0,0.9939917386406308,70.32447904522269,64.68072915608413,140.57677299472147,53.545524546498214,0.5459010200226672,0.29278428409520213,0.28843579259329144,0.07917058436074788
913,400.0,block2_output/point_numerator,FCC,533,0.7168216818731077,527.0,527.0,1.0,85.49691684397123,85.26863575063996,146.69523341346303,55.979176653307306,0.715370018975332,0.4629981024667932,0.057497517693266234,0.0257256042187865
913,400.0,block2_output/point_numerator,HCP,1,1.505284664782682,,,,,,,,,,,
913,400.0,centroid_7A,unclassified,2670,1.0880306226442549,2663.0,2661.0,0.9992489673300788,61.8323590306522,55.050394804584684,134.87474370513314,49.436373971975314,0.4460729049229613,0.21721157459601653,0.4074377745921882,0.1666796930107002
913,400.0,centroid_7A,FCC,533,0.8228468885911818,527.0,523.0,0.9924098671726755,75.24552480805592,73.50381065282258,148.23588608669775,51.158133611020624,0.6003824091778203,0.37476099426386233,0.2017783561758231,0.12817658841527835
913,400.0,centroid_7A,HCP,1,1.1680939561150165,,,,,,,,,,,
913,400.0,centroid_support,unclassified,2670,0.8648124655126862,2663.0,2655.0,0.9969958693203155,57.159344794226065,50.44607129429589,125.48440580262464,48.00777198702171,0.4,0.17062146892655367,0.4738976318603551,0.1967435354657883
913,400.0,centroid_support,FCC,533,1.445775660769513,527.0,525.0,0.9962049335863378,51.738611298135964,43.77771705814264,128.09196317746319,42.817314542856224,0.3619047619047619,0.1657142857142857,0.5222053893236897,0.2995120513403587
913,400.0,centroid_support,HCP,1,1.5554357352320058,,,,,,,,,,,
913,400.0,shape_axis_7A,unclassified,2670,0.8278848102833515,2663.0,1290.0,0.4844160720991363,66.86723759529922,38.37332943154408,166.59258543788596,31.66646170319405,0.3875968992248062,0.3263565891472868,0.3105738991280992,0.5405811271476768
913,400.0,shape_axis_7A,FCC,533,0.5513075024035484,527.0,71.0,0.1347248576850095,60.09827892878318,30.19150744975701,162.61767700727074,28.380893254319023,0.3380281690140845,0.2535211267605634,0.40597591762520874,0.6132984398949886
913,400.0,shape_axis_7A,HCP,1,0.9999999995879043,,,,,,,,,,,
938,450.0,block1/ideal_bivector,unclassified,1425,1.0738608593062031,1366.0,1364.0,0.9985358711566618,68.09606981067942,62.41865989320734,142.13639881547152,51.77726788787945,0.5234604105571847,0.27712609970674484,0.3181721892536437,0.11691148021329142
938,450.0,block1/ideal_bivector,FCC,1766,0.7090837318749451,1716.0,1702.0,0.9918414918414918,82.40473718070132,80.81260667956548,149.76957728827736,57.018354416999166,0.6833137485311398,0.4236192714453584,0.11205704571313563,0.007734476681517044
938,450.0,block1/ideal_bivector,HCP,13,0.9104697507100974,5.0,5.0,1.0,60.23583372568858,49.39850150261205,96.54926064835553,54.22937352167661,0.4,0.2,0.4668734994513214,0.04117915790912378
938,450.0,block1/axial_bivector,unclassified,1425,1.0053042753623895,1366.0,1360.0,0.9956076134699854,76.72828342023017,72.95933068974603,148.15996193044674,55.30414075555747,0.625,0.3558823529411765,0.19511254861593832,0.040959471812760946
938,450.0,block1/axial_bivector,FCC,1766,0.895663780342291,1716.0,1712.0,0.9976689976689976,81.55948711686577,79.57938364446954,148.344349073571,56.2024291515599,0.6723130841121495,0.4117990654205608,0.12260187830773826,0.02287641528011388
