field,phase,distance_lo_A,distance_hi_A,metric,sources,mean,low,high
block2_mlp_input/point_numerator,HCP,4,8,p2,9,,,
block2_mlp_input/point_numerator,HCP,4,8,shuffle_p1,9,,,
block2_mlp_input/point_numerator,HCP,4,8,shuffle_p2,9,,,
block2_mlp_input/point_numerator,HCP,4,8,excess_p1,9,,,
block2_mlp_input/point_numerator,HCP,4,8,excess_p2,9,,,
block1/point_numerator,FCC,0,4,p1,10,0.1590770950527043,0.13714486548878707,0.18100932461662153
block1/point_numerator,FCC,0,4,p2,10,0.026020506161186573,0.015428545738644375,0.03731146647923463
block1/point_numerator,FCC,0,4,shuffle_p1,10,0.012787418506033566,0.009650332564783513,0.015917405800900213
block1/point_numerator,FCC,0,4,shuffle_p2,10,0.001484939995745567,-0.002493243469108383,0.005311414626408091
block1/point_numerator,FCC,0,4,excess_p1,10,0.14628967654667074,0.12297799215988801,0.16960136093345343
block1/point_numerator,FCC,0,4,excess_p2,10,0.02453556616544101,0.014599831794177513,0.0344713005367045
block1/point_numerator,FCC,12,18,p1,10,0.033000947686983154,0.010352353663469384,0.054439392866618294
block1/point_numerator,FCC,12,18,p2,10,-0.014270521240673403,-0.02668115724427066,-0.0018598852370761462
block1/point_numerator,FCC,12,18,shuffle_p1,10,0.011086611651966949,0.009721568431970652,0.012451654871963248
block1/point_numerator,FCC,12,18,shuffle_p2,10,-0.001103447143779242,-0.007442124659536378,0.005381815708448463
block1/point_numerator,FCC,12,18,excess_p1,10,0.021914336035016198,0.0007818479136325919,0.04227460097236517
block1/point_numerator,FCC,12,18,excess_p2,10,-0.013167074096894164,-0.022856773420256053,-0.003325116972563393
block1/point_numerator,FCC,18,26,p1,10,-0.011099042683551181,-0.02282654260211234,0.0006284572350099777
block1/point_numerator,FCC,18,26,p2,10,0.001542738779377772,-0.006089538092266089,0.008907627062640564
block1/point_numerator,FCC,18,26,shuffle_p1,10,0.011086611651966947,0.00972156843197065,0.012451654871963248
block1/point_numerator,FCC,18,26,shuffle_p2,10,-0.001103447143779242,-0.007442124659536378,0.005381815708448463
block1/point_numerator,FCC,18,26,excess_p1,10,-0.022185654335518133,-0.034192843300548205,-0.010066140783745063
block1/point_numerator,FCC,18,26,excess_p2,10,0.002646185923157015,-0.003334017140739322,0.008624985899796395
block1/point_numerator,FCC,26,40,p1,10,0.0019036240665944114,-0.006384106398597303,0.010563611236593443
block1/point_numerator,FCC,26,40,p2,10,-0.007906537705400334,-0.017473622951292,0.0016569309288706959
block1/point_numerator,FCC,26,40,shuffle_p1,10,0.011086611651966949,0.009721568431970652,0.012451654871963248
block1/point_numerator,FCC,26,40,shuffle_p2,10,-0.0011034471437792418,-0.007442124659536378,0.005381815708448463
