source,temperature_K,field,pairs,valid_pairs,coverage,mean_angle_deg,median_angle_deg,p95_angle_deg,mean_axis_angle_deg,jump60_fraction,flip90_fraction,p1,p2,cage_mean_angle_deg,cage_p1,cage_fit_rms_A
970,500.0,shape_axis_7A,3200,767,0.2396875,70.42532950409307,62.012068713672996,154.98436274025542,47.194232478631605,0.5176010430247718,0.31421121251629724,0.27934768520032344,0.21922672638148974,70.44908759392779,0.27897893984411914,0.554413378238678
971,500.0,block1/ideal_bivector,3200,3180,0.99375,79.09187696525761,74.86442217559,147.57434908851633,54.870755116252646,0.639937106918239,0.3877358490566038,0.1592663602080802,0.04875496052804437,79.10431890873882,0.159144598652231,0.6416328549385071
971,500.0,block1/axial_bivector,3200,3192,0.9975,82.39601923265866,80.66874502769348,150.57597314828297,56.153347464299394,0.6801378446115288,0.41697994987468673,0.11093314626003532,0.026343678741099146,82.39199597279612,0.11106136822661515,0.6416328549385071
971,500.0,block1/point_numerator,3200,3180,0.99375,78.77885255708436,74.22548557496162,147.85979668160553,54.84164493979605,0.6361635220125786,0.38238993710691827,0.1639478622076046,0.04985361461263538,78.79531792705599,0.16380051752546956,0.6416328549385071
971,500.0,block2_mlp_input/ideal_bivector,3200,3182,0.994375,79.08102614584877,74.77665189939668,147.70019311413327,54.850213219328694,0.6373350094280327,0.3893777498428661,0.15946102012996782,0.048937441229499355,79.09302751536823,0.15934824583588084,0.6416328549385071
971,500.0,block2_mlp_input/axial_bivector,3200,3196,0.99875,82.28814502851189,80.38805725339034,149.6335943708308,56.14209606862171,0.6777221526908636,0.41551939924906134,0.11257664863686746,0.025826026504875754,82.28515019791084,0.11267793174364671,0.6416328549385071
971,500.0,block2_mlp_input/point_numerator,3200,3190,0.996875,78.86814079085254,75.84975539577673,147.97335154432872,55.215510984239565,0.638871473354232,0.3843260188087774,0.1617435200455553,0.04156681710717356,78.86513230418838,0.1619399135487292,0.6416328549385071
971,500.0,block2_output/plane_normal,3200,3180,0.99375,79.92873960433275,75.51731812811846,147.53414879503293,55.13263852846733,0.650314465408805,0.3908805031446541,0.1472678633188821,0.04314191782294472,79.93765056853424,0.14718064417344776,0.6416328549385071
971,500.0,block2_output/ideal_bivector,3200,3180,0.99375,79.06727755511683,74.81761206485183,147.93985950855395,54.84529329739411,0.6364779874213836,0.389622641509434,0.1596833894722055,0.049023232140579805,79.07904779064705,0.15957871941653398,0.6416328549385071
971,500.0,block2_output/axial_bivector,3200,3192,0.9975,82.79427070089976,80.97916771910914,150.47876127012495,56.21806483174418,0.681077694235589,0.41885964912280704,0.10519378498546232,0.024460284658379287,82.78710236726761,0.10536419252713543,0.6416328549385071
971,500.0,block2_output/point_numerator,3200,3190,0.996875,78.87024088362519,75.89082314090302,147.98245144665773,55.2150433023973,0.638871473354232,0.3843260188087774,0.1617116755779517,0.04157086978223378,78.86725516827605,0.1619078268806492,0.6416328549385071
