task,family,method,source,temperature_K,caliper_A,target,n,loss,true_contrast_rms
structure,linear,plus_gatr,913,400.0,0.05,w6,158,0.017771693964643665,0.07868418925212133
structure,linear,plus_gatr,913,400.0,0.05,qbar6,158,0.02581390019122462,0.040421867971188956
structure,linear,plus_gatr,913,400.0,0.05,q6_coherence,158,0.025063020037270695,0.024684560340675978
structure,linear,plus_gatr,913,400.0,0.05,bond_order,158,0.03527090635119603,0.12485790045134083
structure,linear,plus_gatr,913,400.0,0.05,angular_arrangement,158,0.10501238404365247,0.37381207866282845
structure,linear,plus_gatr,938,450.0,0.05,q4,13,1.5402376015433394,1.2555246469716765
structure,linear,plus_gatr,938,450.0,0.05,q6,13,0.2685342265694706,0.5500440943831092
structure,linear,plus_gatr,938,450.0,0.05,w4,13,2.3289033426495327,1.547580763054549
structure,linear,plus_gatr,938,450.0,0.05,w6,13,0.06027329010750268,0.2132062701016716
structure,linear,plus_gatr,938,450.0,0.05,qbar6,13,0.09147580462362317,0.35945473949190987
structure,linear,plus_gatr,938,450.0,0.05,q6_coherence,13,0.04317495341611195,0.2256067345542457
structure,linear,plus_gatr,938,450.0,0.05,bond_order,13,0.7220998698182634,0.8659734296468224
structure,linear,plus_gatr,938,450.0,0.05,angular_arrangement,13,1.0001191817434112,1.0600659779537185
structure,linear,plus_gatr,942,450.0,0.05,q4,206,0.05150432478491314,0.18808513950432873
structure,linear,plus_gatr,942,450.0,0.05,q6,206,0.0243101546599855,0.11409508279772727
structure,linear,plus_gatr,942,450.0,0.05,w4,206,0.08682935431059627,0.2723829738548929
structure,linear,plus_gatr,942,450.0,0.05,w6,206,0.014419732063756331,0.09270735987560787
structure,linear,plus_gatr,942,450.0,0.05,qbar6,206,0.03040562633316204,0.04026644987015386
structure,linear,plus_gatr,942,450.0,0.05,q6_coherence,206,0.029389973861057253,0.0203954079111501
structure,linear,plus_gatr,942,450.0,0.05,bond_order,206,0.03947652766891176,0.1490068266283638
structure,linear,plus_gatr,942,450.0,0.05,angular_arrangement,206,0.1337122327528632,0.3904597233780116
structure,linear,plus_gatr,970,500.0,0.05,q4,82,0.16117364384288377,0.4122969130415288
structure,linear,plus_gatr,970,500.0,0.05,q6,82,0.02639862134330207,0.15570356584334472
structure,linear,plus_gatr,970,500.0,0.05,w4,82,0.13464125821038397,0.3966564763436262
