task,family,method,source,temperature_K,caliper_A,target,n,loss,true_contrast_rms,discordant,concordance
structure,linear,plus_radial_duplicate,942,450.0,0.05,w4,1,0.0146193768329521,0.03636067633642757,,
structure,linear,plus_radial_duplicate,942,450.0,0.05,w6,1,0.0074932120726219475,0.04322356139918561,,
structure,linear,plus_radial_duplicate,942,450.0,0.05,qbar6,1,0.0033384886392122605,0.008611071169454941,,
structure,linear,plus_radial_duplicate,942,450.0,0.05,q6_coherence,1,0.01836654941808478,0.007597365575279685,,
structure,linear,plus_radial_duplicate,942,450.0,0.05,bond_order,1,0.009214630262151143,0.04495180668921859,,
structure,linear,plus_radial_duplicate,942,450.0,0.05,angular_arrangement,1,0.07131116895831986,0.32707166763148465,,
structure,linear,plus_radial_duplicate,911,400.0,0.1,q4,172,0.2925629806643521,0.5129617611641258,,
structure,linear,plus_radial_duplicate,911,400.0,0.1,q6,172,0.15286496247745787,0.3632021794368057,,
structure,linear,plus_radial_duplicate,911,400.0,0.1,w4,172,0.2542130149307681,0.49744097044318036,,
structure,linear,plus_radial_duplicate,911,400.0,0.1,w6,172,0.448557156305714,0.6638800808971207,,
structure,linear,plus_radial_duplicate,911,400.0,0.1,qbar6,172,0.10865154628778945,0.22915969927435692,,
structure,linear,plus_radial_duplicate,911,400.0,0.1,q6_coherence,172,0.12718943268763558,0.29521688689862785,,
structure,linear,plus_radial_duplicate,911,400.0,0.1,bond_order,172,0.23067318222561947,0.45146004816471097,,
structure,linear,plus_radial_duplicate,911,400.0,0.1,angular_arrangement,172,0.3065116711933632,0.6602420100754829,,
structure,linear,plus_radial_duplicate,913,400.0,0.1,q4,126,0.9671143188180031,0.9901612518647169,,
structure,linear,plus_radial_duplicate,913,400.0,0.1,q6,126,0.35356692533194456,0.5607878068733738,,
structure,linear,plus_radial_duplicate,913,400.0,0.1,w4,126,0.7125921491654167,0.8555991044523487,,
structure,linear,plus_radial_duplicate,913,400.0,0.1,w6,126,2.8916024494960744,1.6771434451029166,,
structure,linear,plus_radial_duplicate,913,400.0,0.1,qbar6,126,0.1256871173942463,0.22420826642845748,,
structure,linear,plus_radial_duplicate,913,400.0,0.1,q6_coherence,126,0.1953712193259898,0.3479095132100854,,
structure,linear,plus_radial_duplicate,913,400.0,0.1,bond_order,126,0.8743223632552791,0.9138811564002205,,
structure,linear,plus_radial_duplicate,913,400.0,0.1,angular_arrangement,126,0.601210427050126,0.8405749525289181,,
structure,linear,plus_radial_duplicate,938,450.0,0.1,q4,91,0.7469985780634365,0.8364226129056815,,
structure,linear,plus_radial_duplicate,938,450.0,0.1,q6,91,0.18364075920564096,0.4054583993753211,,
structure,linear,plus_radial_duplicate,938,450.0,0.1,w4,91,0.5072009298669157,0.6500793215477096,,
structure,linear,plus_radial_duplicate,938,450.0,0.1,w6,91,0.5980180362174627,0.7672954258749177,,
structure,linear,plus_radial_duplicate,938,450.0,0.1,qbar6,91,0.12414394936092762,0.30420198887482397,,
structure,linear,plus_radial_duplicate,938,450.0,0.1,q6_coherence,91,0.13504445241307622,0.31039136618588287,,
structure,linear,plus_radial_duplicate,938,450.0,0.1,bond_order,91,0.38250778418791,0.5865472908064907,,
structure,linear,plus_radial_duplicate,938,450.0,0.1,angular_arrangement,91,0.4938006959507297,0.8034480382537533,,
structure,linear,plus_radial_duplicate,942,450.0,0.1,q4,191,0.47413439520850365,0.6848081239315917,,
structure,linear,plus_radial_duplicate,942,450.0,0.1,q6,191,0.09874470772695794,0.3045996571495689,,
structure,linear,plus_radial_duplicate,942,450.0,0.1,w4,191,0.4119999672825655,0.6029434399457076,,
structure,linear,plus_radial_duplicate,942,450.0,0.1,w6,191,0.3632781721801542,0.5997974191256887,,
structure,linear,plus_radial_duplicate,942,450.0,0.1,qbar6,191,0.061918020053264106,0.17430126477279742,,
structure,linear,plus_radial_duplicate,942,450.0,0.1,q6_coherence,191,0.07878385186419723,0.2258745204172401,,
structure,linear,plus_radial_duplicate,942,450.0,0.1,bond_order,191,0.24814318571927377,0.4772213119327441,,
structure,linear,plus_radial_duplicate,942,450.0,0.1,angular_arrangement,191,0.33426943409956705,0.7073908013359534,,
structure,linear,plus_radial_duplicate,970,500.0,0.1,q4,156,0.3197215547379688,0.5427958532186881,,
structure,linear,plus_radial_duplicate,970,500.0,0.1,q6,156,0.11351370538765299,0.31415844042898583,,
structure,linear,plus_radial_duplicate,970,500.0,0.1,w4,156,0.30048256993349665,0.5471450551937437,,
structure,linear,plus_radial_duplicate,970,500.0,0.1,w6,156,0.22885862891426256,0.4735897075452456,,
structure,linear,plus_radial_duplicate,970,500.0,0.1,qbar6,156,0.07675650888024839,0.13339467402976257,,
structure,linear,plus_radial_duplicate,970,500.0,0.1,q6_coherence,156,0.07124722904535488,0.14387694799707285,,
