task,family,target,baseline,method,sources,n,improvement_percent,low,high,baseline_loss,candidate_loss
structure,nonlinear,w4,radial_control,plus_tda,10,32040,4.198144319874764,3.115127390889172,5.338155037893211,0.7084074469024723,0.6786674799087663
structure,nonlinear,w4,plus_radial_duplicate,plus_gatr,10,32040,0.011760079248313016,0.0014641796216124936,0.020260700348784244,0.7077046712716992,0.7076214446415137
structure,nonlinear,w4,plus_radial_duplicate,plus_angular_delta,10,32040,-0.05767854688991658,-0.5336234496096548,0.3849433344243372,0.7077046712716992,0.7081128650423608
structure,nonlinear,w6,radial,radial_control,10,32040,0.04307357062254269,-0.7081087575370404,0.8782084687337433,0.9474413530759028,0.9470332562555785
structure,nonlinear,w6,radial_control,plus_radial_duplicate,10,32040,-0.13651670437080377,-0.2188549069447765,-0.05422145772873144,0.9470332562555785,0.9483261148463141
structure,nonlinear,w6,radial_control,plus_gatr,10,32040,-0.14032848112632834,-0.2207989042484204,-0.0611372825867873,0.9470332562555785,0.9483622136398433
structure,nonlinear,w6,radial_control,plus_angular_delta,10,32040,-0.2118096672448999,-0.3021168700672233,-0.14442700878691817,0.9470332562555785,0.9490391642443521
structure,nonlinear,w6,radial_control,plus_mace,10,32040,0.7420927289154111,-0.13231963366913124,1.5208647047452257,0.9470332562555785,0.9400053913204951
structure,nonlinear,w6,radial_control,plus_soap,10,32040,7.669727047709762,6.187382769413818,8.689577750466714,0.9470332562555785,0.8743983904497379
structure,nonlinear,w6,radial_control,plus_tda,10,32040,0.9775374489243482,0.4682451975471902,1.4182809129552498,0.9470332562555785,0.9377756515219126
structure,nonlinear,w6,plus_radial_duplicate,plus_gatr,10,32040,-0.003806580137788451,-0.009515026692263895,0.0008332116904541387,0.9483261148463141,0.9483622136398433
structure,nonlinear,w6,plus_radial_duplicate,plus_angular_delta,10,32040,-0.07519031553333555,-0.21694655148247977,0.0372947503596839,0.9483261148463141,0.9490391642443521
structure,nonlinear,qbar6,radial,radial_control,10,32040,-0.27718614380982665,-3.4754122706439627,2.8813462601508633,0.09412850660820662,0.0943894177858997
structure,nonlinear,qbar6,radial_control,plus_radial_duplicate,10,32040,0.13799013365941581,-4.7234950271140885,4.636152398050199,0.0943894177858997,0.09425916970213659
structure,nonlinear,qbar6,radial_control,plus_gatr,10,32040,0.17223535063040085,-4.71563906356578,4.6833674564354775,0.0943894177858997,0.09422684584121815
structure,nonlinear,qbar6,radial_control,plus_angular_delta,10,32040,-0.7646351418533204,-6.318558751149572,4.782283647143637,0.0943894177858997,0.09511115244448143
structure,nonlinear,qbar6,radial_control,plus_mace,10,32040,48.888924818058555,44.42533606300999,53.06792931706139,0.0943894177858997,0.04824344628834801
structure,nonlinear,qbar6,radial_control,plus_soap,10,32040,46.03745149219394,40.597506794792785,51.66883843379594,0.0943894177858997,0.05093493535895185
structure,nonlinear,qbar6,radial_control,plus_tda,10,32040,49.02177382011974,44.33469293786783,53.34498483400354,0.0943894177858997,0.04811805088876807
structure,nonlinear,qbar6,plus_radial_duplicate,plus_gatr,10,32040,0.034292537289026814,-0.0015751312046008437,0.07182344420007172,0.09425916970213659,0.09422684584121815
structure,nonlinear,qbar6,plus_radial_duplicate,plus_angular_delta,10,32040,-0.9038725304255646,-3.7701905439485817,2.186266151521632,0.09425916970213659,0.09511115244448143
structure,nonlinear,q6_coherence,radial,radial_control,10,32040,0.7997089158811588,-1.714604809937481,3.6035577451427714,0.1452877626065068,0.1441258834152583
structure,nonlinear,q6_coherence,radial_control,plus_radial_duplicate,10,32040,-0.3749778089961797,-1.497082808159944,0.5548102959263002,0.1441258834152583,0.14466632349508524
structure,nonlinear,q6_coherence,radial_control,plus_gatr,10,32040,-0.3167426823558417,-1.4642714382806066,0.662912414090755,0.1441258834152583,0.14458239160435685
structure,nonlinear,q6_coherence,radial_control,plus_angular_delta,10,32040,-1.6339855696038796,-3.451926271346961,0.4678498872342174,0.1441258834152583,0.14648087955232775
structure,nonlinear,q6_coherence,radial_control,plus_mace,10,32040,27.128949758858077,23.25175105773293,31.638788344087914,0.1441258834152583,0.10502604491402252
structure,nonlinear,q6_coherence,radial_control,plus_soap,10,32040,31.941020148711885,28.076948681092475,35.87397171153292,0.1441258834152583,0.09809060595408166
structure,nonlinear,q6_coherence,radial_control,plus_tda,10,32040,29.755964885712295,27.56611792903524,31.754330197370507,0.1441258834152583,0.10123983615499141
structure,nonlinear,q6_coherence,plus_radial_duplicate,plus_gatr,10,32040,0.058017573613977635,-0.06660617050271433,0.19553098104914124,0.14466632349508524,0.14458239160435685
structure,nonlinear,q6_coherence,plus_radial_duplicate,plus_angular_delta,10,32040,-1.254304397459971,-4.00066200503959,1.875771499879808,0.14466632349508524,0.14648087955232775
structure,nonlinear,bond_order,radial,radial_control,10,32040,-0.020205406526385694,-0.3971094249673568,0.3929167969916936,0.481770890553992,0.48186823432095427
structure,nonlinear,bond_order,radial_control,plus_radial_duplicate,10,32040,-0.13899857943053817,-0.6031044609281722,0.3231078210897853,0.48186823432095427,0.48253802432138737
structure,nonlinear,bond_order,radial_control,plus_gatr,10,32040,-0.11742101123157767,-0.5711825926014047,0.33770600859514,0.48186823432095427,0.4824340488744977
structure,nonlinear,bond_order,radial_control,plus_angular_delta,10,32040,-0.056080554372872626,-0.8644296052944922,0.727390179448606,0.48186823432095427,0.4821384686981083
structure,nonlinear,bond_order,radial_control,plus_mace,10,32040,8.723723506164937,7.550216431566903,9.88577461759692,0.48186823432095427,0.43983138189475524
structure,nonlinear,bond_order,radial_control,plus_soap,10,32040,39.318546846155556,35.998961202087166,42.84738065291908,0.48186823432095427,0.29240464687272727
structure,nonlinear,bond_order,radial_control,plus_tda,10,32040,7.1534191146247705,6.146050877923004,8.190918865359942,0.48186823432095427,0.44739817993973424
structure,nonlinear,bond_order,plus_radial_duplicate,plus_gatr,10,32040,0.021547617316974854,0.005404627100791259,0.036510733603833945,0.48253802432138737,0.4824340488744977
structure,nonlinear,bond_order,plus_radial_duplicate,plus_angular_delta,10,32040,0.08280293016099671,-0.4890810072578633,0.6544601688111773,0.48253802432138737,0.4821384686981083
structure,nonlinear,angular_arrangement,radial,radial_control,10,32040,-0.1877929462110517,-0.5573741564896079,0.27516035526321536,0.42036225309404235,0.42115166375388685
structure,nonlinear,angular_arrangement,radial_control,plus_radial_duplicate,10,32040,-0.26508625330650126,-0.5941934328524123,0.12434360324765208,0.42115166375388685,0.42226807892007
structure,nonlinear,angular_arrangement,radial_control,plus_gatr,10,32040,-0.2640885261177228,-0.5848796581929605,0.11581137490471738,0.42115166375388685,0.42226387697541473
structure,nonlinear,angular_arrangement,radial_control,plus_angular_delta,10,32040,0.1568526282660132,-0.38813819825377405,0.7335420587411767,0.42115166375388685,0.42049107630030286
structure,nonlinear,angular_arrangement,radial_control,plus_mace,10,32040,14.939718538578617,9.467714967303763,19.166798532482904,0.42115166375388685,0.35823279056851515
