arm,representation,readout,metric,estimate,ci95_low,ci95_high,valid_draws,selected_step
B-relaxed,conditions,linear,nll,0.19372409431737486,0.1456887472487764,0.2443648562108255,2000,1024
B-relaxed,conditions,mlp,average_precision,0.05856170013644129,0.04000554919842013,0.0825554023842496,2000,128
B-relaxed,conditions,mlp,brier,0.03123828601038974,0.022630593296236203,0.04034131474742219,2000,128
B-relaxed,conditions,mlp,log_loss,0.14124525054819514,0.11292331638785719,0.1708858333456846,2000,128
B-relaxed,conditions,mlp,nll,0.19233177624565576,0.14723560583401965,0.24087549899765032,2000,128
B-relaxed,descriptor,linear,average_precision,0.09909540186034659,0.06389670202422758,0.22554780572415273,2000,512
B-relaxed,descriptor,linear,brier,0.033635883352677226,0.02533110668336323,0.04291695199875718,2000,512
B-relaxed,descriptor,linear,log_loss,0.14846396970671924,0.11794632312184689,0.18266809288805586,2000,512
B-relaxed,descriptor,linear,nll,0.21559786444965143,0.15875542015767605,0.27812189182607505,2000,512
B-relaxed,descriptor,mlp,average_precision,0.13236332835828019,0.059987422240210045,0.2829775916893892,2000,128
B-relaxed,descriptor,mlp,brier,0.03083845994300622,0.02149472099545547,0.04160517810462101,2000,128
B-relaxed,descriptor,mlp,log_loss,0.15123262126890427,0.09980340420612319,0.20863227956194327,2000,128
B-relaxed,descriptor,mlp,nll,0.2249406841068946,0.1579302622578287,0.29232486122547835,2000,128
B-relaxed,descriptor_pca64,linear,average_precision,0.07382394333128176,0.051314143794437286,0.1182323581987277,2000,256
B-relaxed,descriptor_pca64,linear,brier,0.0326986673557449,0.024755208357669898,0.04127765207263462,2000,256
B-relaxed,descriptor_pca64,linear,log_loss,0.14498771213233044,0.12069655649590096,0.1714436991012621,2000,256
B-relaxed,descriptor_pca64,linear,nll,0.2082392695312682,0.15640602083083371,0.26447523534408174,2000,256
B-relaxed,descriptor_pca64,mlp,average_precision,0.09404943211225197,0.057833611706120294,0.15540556380072643,2000,128
B-relaxed,descriptor_pca64,mlp,brier,0.036844157782292865,0.029540263291257633,0.044311198298657394,2000,128
B-relaxed,descriptor_pca64,mlp,log_loss,0.14729004813281096,0.11734693922855739,0.17849299897665377,2000,128
B-relaxed,descriptor_pca64,mlp,nll,0.2228883346732911,0.15975391777222397,0.2921082699132289,2000,128
B-relaxed,exported,linear,average_precision,0.20870261822435154,0.07874502844671215,0.36225792599129436,2000,384
B-relaxed,exported,linear,brier,0.030763008837892535,0.02409799612184286,0.03788705007793405,2000,384
B-relaxed,exported,linear,log_loss,0.1325255181797746,0.10741081165904094,0.15988018519300978,2000,384
B-relaxed,exported,linear,nll,0.18679989031884128,0.14825224724549224,0.22756867886950227,2000,384
B-relaxed,exported,mlp,average_precision,0.26752934690832947,0.10650158428951254,0.4604698044677272,2000,128
B-relaxed,exported,mlp,brier,0.029031721184885256,0.021136983828638902,0.037683607571268644,2000,128
B-relaxed,exported,mlp,log_loss,0.14398084223113414,0.08893942446001406,0.20572449637158297,2000,128
