model,domain,population,lag_ps,component,eigenvalue
gf-mlp-cov1-factor1-s123-0035--encoder,all,reference,,57,0.0030189338851598084
gf-mlp-cov1-factor1-s123-0035--encoder,all,reference,,58,0.002974542737376201
gf-mlp-cov1-factor1-s123-0035--encoder,all,reference,,59,0.0029233078822549835
gf-mlp-cov1-factor1-s123-0035--encoder,all,reference,,60,0.0028881355208352586
gf-mlp-cov1-factor1-s123-0035--encoder,all,reference,,61,0.0028045787783104624
gf-mlp-cov1-factor1-s123-0035--encoder,all,reference,,62,0.0027033533963299783
gf-mlp-cov1-factor1-s123-0035--encoder,all,reference,,63,0.002681376328835965
gf-mlp-cov1-factor1-s123-0035--encoder,all,reference,,64,0.0026637211209587096
gf-mlp-cov1-factor1-s123-0035--encoder,all,reference,,65,0.002569716736451875
gf-mlp-cov1-factor1-s123-0035--encoder,all,reference,,66,0.00252440645589368
gf-mlp-cov1-factor1-s123-0035--encoder,all,reference,,67,0.0024126919830538217
gf-mlp-cov1-factor1-s123-0035--encoder,all,reference,,68,0.0023903210217435253
gf-mlp-cov1-factor1-s123-0035--encoder,all,reference,,69,0.0023621822769504643
gf-mlp-cov1-factor1-s123-0035--encoder,all,reference,,70,0.0023253456511055787
gf-mlp-cov1-factor1-s123-0035--encoder,all,reference,,71,0.002252078142000971
gf-mlp-cov1-factor1-s123-0035--encoder,all,reference,,72,0.002221730628147477
gf-mlp-cov1-factor1-s123-0035--encoder,all,reference,,73,0.002187425134117517
gf-mlp-cov1-factor1-s123-0035--encoder,all,reference,,74,0.0021459416687498413
gf-mlp-cov1-factor1-s123-0035--encoder,all,reference,,75,0.002077252312442463
gf-mlp-cov1-factor1-s123-0035--encoder,all,reference,,76,0.0020548036030618977
gf-mlp-cov1-factor1-s123-0035--encoder,all,reference,,77,0.002031039073407806
gf-mlp-cov1-factor1-s123-0035--encoder,all,reference,,78,0.0020131435324169393
gf-mlp-cov1-factor1-s123-0035--encoder,all,reference,,79,0.001990637255104168
gf-mlp-cov1-factor1-s123-0035--encoder,all,reference,,80,0.0019233835197692056
gf-mlp-cov1-factor1-s123-0035--encoder,all,reference,,81,0.0019095049144470311
gf-mlp-cov1-factor1-s123-0035--encoder,all,reference,,82,0.0018794830478522427
gf-mlp-cov1-factor1-s123-0035--encoder,all,reference,,83,0.0018492026162843162
gf-mlp-cov1-factor1-s123-0035--encoder,all,reference,,84,0.0018274449626260927
gf-mlp-cov1-factor1-s123-0035--encoder,all,reference,,85,0.0018066601283019278
gf-mlp-cov1-factor1-s123-0035--encoder,all,reference,,86,0.0017709213523773976
gf-mlp-cov1-factor1-s123-0035--encoder,all,reference,,87,0.001740349730882208
gf-mlp-cov1-factor1-s123-0035--encoder,all,reference,,88,0.0017062052366910768
gf-mlp-cov1-factor1-s123-0035--encoder,all,reference,,89,0.0016874023467864222
gf-mlp-cov1-factor1-s123-0035--encoder,all,reference,,90,0.0016729548942938136
gf-mlp-cov1-factor1-s123-0035--encoder,all,reference,,91,0.0016642802783994018
gf-mlp-cov1-factor1-s123-0035--encoder,all,reference,,92,0.001615062616267046
gf-mlp-cov1-factor1-s123-0035--encoder,all,reference,,93,0.0015697329835962252
gf-mlp-cov1-factor1-s123-0035--encoder,all,reference,,94,0.0015568002253270887
gf-mlp-cov1-factor1-s123-0035--encoder,all,reference,,95,0.001538441200456979
gf-mlp-cov1-factor1-s123-0035--encoder,all,reference,,96,0.001530268519017383
gf-mlp-cov1-factor1-s123-0035--encoder,all,reference,,97,0.0015052267519764199
gf-mlp-cov1-factor1-s123-0035--encoder,all,reference,,98,0.001487284047374327
gf-mlp-cov1-factor1-s123-0035--encoder,all,reference,,99,0.001442376968893354
gf-mlp-cov1-factor1-s123-0035--encoder,all,reference,,100,0.0014019352959404395
gf-mlp-cov1-factor1-s123-0035--encoder,all,reference,,101,0.0013888425193036489
gf-mlp-cov1-factor1-s123-0035--encoder,all,reference,,102,0.0013470861992472799
gf-mlp-cov1-factor1-s123-0035--encoder,all,reference,,103,0.0013366317580071182
gf-mlp-cov1-factor1-s123-0035--encoder,all,reference,,104,0.0013042167934431473
gf-mlp-cov1-factor1-s123-0035--encoder,all,reference,,105,0.0012879921115302008
gf-mlp-cov1-factor1-s123-0035--encoder,all,reference,,106,0.0012825370228014392
gf-mlp-cov1-factor1-s123-0035--encoder,all,reference,,107,0.0012563069704688591
gf-mlp-cov1-factor1-s123-0035--encoder,all,reference,,108,0.0012382212911914454
gf-mlp-cov1-factor1-s123-0035--encoder,all,reference,,109,0.0012275825439127944
gf-mlp-cov1-factor1-s123-0035--encoder,all,reference,,110,0.001201051271864816
gf-mlp-cov1-factor1-s123-0035--encoder,all,reference,,111,0.0011670037642041182
gf-mlp-cov1-factor1-s123-0035--encoder,all,reference,,112,0.0011177508069455367
gf-mlp-cov1-factor1-s123-0035--encoder,all,reference,,113,0.001104423999080561
gf-mlp-cov1-factor1-s123-0035--encoder,all,reference,,114,0.0010727326450897278
gf-mlp-cov1-factor1-s123-0035--encoder,all,reference,,115,0.001061726136085712
gf-mlp-cov1-factor1-s123-0035--encoder,all,reference,,116,0.0010456252603141271
gf-mlp-cov1-factor1-s123-0035--encoder,all,reference,,117,0.0010232436931104135
gf-mlp-cov1-factor1-s123-0035--encoder,all,reference,,118,0.001018046641399356
gf-mlp-cov1-factor1-s123-0035--encoder,all,reference,,119,0.0009993147022720182
gf-mlp-cov1-factor1-s123-0035--encoder,all,reference,,120,0.0009593464027806482
gf-mlp-cov1-factor1-s123-0035--encoder,all,reference,,121,0.000931306149649484
gf-mlp-cov1-factor1-s123-0035--encoder,all,reference,,122,0.0009239692041616862
gf-mlp-cov1-factor1-s123-0035--encoder,all,reference,,123,0.0009080367330902299
gf-mlp-cov1-factor1-s123-0035--encoder,all,reference,,124,0.0008763838296271866
gf-mlp-cov1-factor1-s123-0035--encoder,all,reference,,125,0.0008396309813991739
gf-mlp-cov1-factor1-s123-0035--encoder,all,reference,,126,0.0008368588120318162
gf-mlp-cov1-factor1-s123-0035--encoder,all,reference,,127,0.0007826728188515609
gf-mlp-cov1-factor1-s123-0035--encoder,all,reference,,128,0.0007433521085234371
gf-mlp-cov1-factor1-s123-0035--encoder,all,evaluation,,1,16.86764652523398
gf-mlp-cov1-factor1-s123-0035--encoder,all,evaluation,,2,3.4023394843609314
gf-mlp-cov1-factor1-s123-0035--encoder,all,evaluation,,3,0.8345706628385319
gf-mlp-cov1-factor1-s123-0035--encoder,all,evaluation,,4,0.36748642877372895
gf-mlp-cov1-factor1-s123-0035--encoder,all,evaluation,,5,0.15583260359574402
gf-mlp-cov1-factor1-s123-0035--encoder,all,evaluation,,6,0.09577278240940443
gf-mlp-cov1-factor1-s123-0035--encoder,all,evaluation,,7,0.07638575761510384
gf-mlp-cov1-factor1-s123-0035--encoder,all,evaluation,,8,0.06421955276998628
gf-mlp-cov1-factor1-s123-0035--encoder,all,evaluation,,9,0.05438499149618027
gf-mlp-cov1-factor1-s123-0035--encoder,all,evaluation,,10,0.04651012035020159
gf-mlp-cov1-factor1-s123-0035--encoder,all,evaluation,,11,0.03475971873852811
gf-mlp-cov1-factor1-s123-0035--encoder,all,evaluation,,12,0.02614046396121347
gf-mlp-cov1-factor1-s123-0035--encoder,all,evaluation,,13,0.02405016447025388
gf-mlp-cov1-factor1-s123-0035--encoder,all,evaluation,,14,0.022006164405437345
gf-mlp-cov1-factor1-s123-0035--encoder,all,evaluation,,15,0.01928781203181855
gf-mlp-cov1-factor1-s123-0035--encoder,all,evaluation,,16,0.016870456436587362
gf-mlp-cov1-factor1-s123-0035--encoder,all,evaluation,,17,0.016820628123968562
gf-mlp-cov1-factor1-s123-0035--encoder,all,evaluation,,18,0.01428095080296967
gf-mlp-cov1-factor1-s123-0035--encoder,all,evaluation,,19,0.012316465976823333
gf-mlp-cov1-factor1-s123-0035--encoder,all,evaluation,,20,0.011693079946013065
gf-mlp-cov1-factor1-s123-0035--encoder,all,evaluation,,21,0.010720347500352233
gf-mlp-cov1-factor1-s123-0035--encoder,all,evaluation,,22,0.009985526590365923
gf-mlp-cov1-factor1-s123-0035--encoder,all,evaluation,,23,0.009587174908309478
gf-mlp-cov1-factor1-s123-0035--encoder,all,evaluation,,24,0.008822942875136432
gf-mlp-cov1-factor1-s123-0035--encoder,all,evaluation,,25,0.00824581433905841
gf-mlp-cov1-factor1-s123-0035--encoder,all,evaluation,,26,0.007793329784491041
gf-mlp-cov1-factor1-s123-0035--encoder,all,evaluation,,27,0.00769228099457774
gf-mlp-cov1-factor1-s123-0035--encoder,all,evaluation,,28,0.007526425031813658
gf-mlp-cov1-factor1-s123-0035--encoder,all,evaluation,,29,0.00716245402541574
gf-mlp-cov1-factor1-s123-0035--encoder,all,evaluation,,30,0.0069420417618284306
gf-mlp-cov1-factor1-s123-0035--encoder,all,evaluation,,31,0.006744947454852726
gf-mlp-cov1-factor1-s123-0035--encoder,all,evaluation,,32,0.00645566237736806
gf-mlp-cov1-factor1-s123-0035--encoder,all,evaluation,,33,0.006110918242942364
gf-mlp-cov1-factor1-s123-0035--encoder,all,evaluation,,34,0.0057840606287836785
gf-mlp-cov1-factor1-s123-0035--encoder,all,evaluation,,35,0.005541716342381313
gf-mlp-cov1-factor1-s123-0035--encoder,all,evaluation,,36,0.005383811689599519
gf-mlp-cov1-factor1-s123-0035--encoder,all,evaluation,,37,0.005039331889259785
gf-mlp-cov1-factor1-s123-0035--encoder,all,evaluation,,38,0.005012822925001458
gf-mlp-cov1-factor1-s123-0035--encoder,all,evaluation,,39,0.004881323397923189
gf-mlp-cov1-factor1-s123-0035--encoder,all,evaluation,,40,0.004745241286507963
gf-mlp-cov1-factor1-s123-0035--encoder,all,evaluation,,41,0.004529062037385785
gf-mlp-cov1-factor1-s123-0035--encoder,all,evaluation,,42,0.004423783740100911
gf-mlp-cov1-factor1-s123-0035--encoder,all,evaluation,,43,0.004382107590085308
gf-mlp-cov1-factor1-s123-0035--encoder,all,evaluation,,44,0.004269087074533073
gf-mlp-cov1-factor1-s123-0035--encoder,all,evaluation,,45,0.004144164979198912
gf-mlp-cov1-factor1-s123-0035--encoder,all,evaluation,,46,0.0040000760605868576
gf-mlp-cov1-factor1-s123-0035--encoder,all,evaluation,,47,0.003927542004473766
gf-mlp-cov1-factor1-s123-0035--encoder,all,evaluation,,48,0.003837642594750008
gf-mlp-cov1-factor1-s123-0035--encoder,all,evaluation,,49,0.003740550605288608
gf-mlp-cov1-factor1-s123-0035--encoder,all,evaluation,,50,0.0037054587875312507
gf-mlp-cov1-factor1-s123-0035--encoder,all,evaluation,,51,0.0036018099001701113
gf-mlp-cov1-factor1-s123-0035--encoder,all,evaluation,,52,0.0035936537626286395
gf-mlp-cov1-factor1-s123-0035--encoder,all,evaluation,,53,0.0035057873175554583
gf-mlp-cov1-factor1-s123-0035--encoder,all,evaluation,,54,0.003460953577393431
gf-mlp-cov1-factor1-s123-0035--encoder,all,evaluation,,55,0.003355363848404446
gf-mlp-cov1-factor1-s123-0035--encoder,all,evaluation,,56,0.00329926286967408
gf-mlp-cov1-factor1-s123-0035--encoder,all,evaluation,,57,0.0032318526352934024
gf-mlp-cov1-factor1-s123-0035--encoder,all,evaluation,,58,0.003155873937225912
gf-mlp-cov1-factor1-s123-0035--encoder,all,evaluation,,59,0.0030986430834747175
gf-mlp-cov1-factor1-s123-0035--encoder,all,evaluation,,60,0.0030360415958330463
gf-mlp-cov1-factor1-s123-0035--encoder,all,evaluation,,61,0.0029337861751278535
gf-mlp-cov1-factor1-s123-0035--encoder,all,evaluation,,62,0.0028175077914606426
gf-mlp-cov1-factor1-s123-0035--encoder,all,evaluation,,63,0.0027650305137573755
gf-mlp-cov1-factor1-s123-0035--encoder,all,evaluation,,64,0.0027150888354678633
