variant,readout,population,method,metric,seeds,value,ci95_low,ci95_high,sources
C,nonlinear,low_order,persistence,future/0.75ps/block_mean,1,0.7150071780471241,0.5937513332138312,0.8329088598690634,17
C,nonlinear,low_order,persistence,future/3ps/block_mean,1,0.6833470999902369,0.5662502212303818,0.7997216350508525,17
C,nonlinear,low_order,persistence,future/9ps/block_mean,1,0.7209020371494049,0.6003280748836879,0.8541912617613835,17
D,joint,all,encoder,future/0.75ps/block_mean,1,0.4116470463987854,0.371664326828387,0.45644547534382174,30
D,joint,all,encoder,future/3ps/block_mean,1,0.4455474483470122,0.40398473517865763,0.4913988672450391,30
D,joint,all,encoder,future/9ps/block_mean,1,0.4417411019197769,0.39507628848414034,0.4928345268706066,30
D,joint,all,encoder,present/block_mean,1,0.346298952617993,0.3113579285235351,0.3844234251135235,30
D,joint,all,encoder,temporal/0.75ps/normalized_rms_jump,1,0.8194270126112025,0.7402251703677071,0.8966597630776849,30
D,joint,all,persistence,future/0.75ps/block_mean,1,0.6543012056603199,0.572482784721845,0.7423925938519339,30
D,joint,all,persistence,future/3ps/block_mean,1,0.6919941502209339,0.6233161646893455,0.7630467167432006,30
D,joint,all,persistence,future/9ps/block_mean,1,0.7277039315344559,0.6432956129271122,0.8183368044851036,30
D,joint,low_order,encoder,future/0.75ps/block_mean,1,0.4527534971050188,0.37550683149191394,0.5321807392379815,17
D,joint,low_order,encoder,future/3ps/block_mean,1,0.43627675162518725,0.37565265914753965,0.49206480791098345,17
D,joint,low_order,encoder,future/9ps/block_mean,1,0.3958920612566027,0.32799666713211034,0.4596511638568093,17
D,joint,low_order,encoder,present/block_mean,1,0.36380036156989776,0.307512532647553,0.4177167902107112,17
D,joint,low_order,encoder,temporal/0.75ps/normalized_rms_jump,1,0.9870408829040966,0.9268301765397583,1.0462067478246817,16
D,joint,low_order,persistence,future/0.75ps/block_mean,1,0.7150071780471241,0.5974123705507202,0.8429253663392919,17
D,joint,low_order,persistence,future/3ps/block_mean,1,0.6833470999902369,0.5735418217877547,0.7928483193521114,17
D,joint,low_order,persistence,future/9ps/block_mean,1,0.7209020371494049,0.5962999214559757,0.8496807047275498,17
D,linear,all,encoder,future/0.75ps/block_mean,1,0.4223777348589567,0.38008497502861754,0.4681900113748593,30
D,linear,all,encoder,future/3ps/block_mean,1,0.4536750733852387,0.41156647943218966,0.4962529814139835,30
D,linear,all,encoder,future/9ps/block_mean,1,0.4561903154063556,0.4095965511227648,0.5062780006788671,30
D,linear,all,encoder,present/block_mean,1,0.3527612798019416,0.3166778366122808,0.39175284126333687,30
D,linear,all,encoder,temporal/0.75ps/normalized_rms_jump,1,0.8194269560220566,0.740351152579416,0.9006888786721032,30
D,linear,all,persistence,future/0.75ps/block_mean,1,0.6543012056603199,0.5713997451808408,0.7425191541608526,30
D,linear,all,persistence,future/3ps/block_mean,1,0.6919941502209339,0.6261919403210697,0.7606457204930485,30
D,linear,all,persistence,future/9ps/block_mean,1,0.7277039315344559,0.6460397298900513,0.8148309700139281,30
D,linear,low_order,encoder,future/0.75ps/block_mean,1,0.45765806456991276,0.3866692974067786,0.532102250618239,17
D,linear,low_order,encoder,future/3ps/block_mean,1,0.44252624863064755,0.3902222158807312,0.5029978797935387,17
D,linear,low_order,encoder,future/9ps/block_mean,1,0.4117599240157242,0.34001014054862455,0.48266262802724524,17
