method,source,temperature_K,lag_ps,displacement2
old_mace,1001,510.0,1.5,0.595208882557113
old_mace,1001,510.0,3.0,0.6353240634856763
old_mace,1001,510.0,6.0,0.6672472894922845
old_mace,1001,510.0,12.0,0.6931288008228859
old_mace,1001,510.0,24.0,0.7110028734515024
old_mace,1001,510.0,48.0,0.7826905340594332
old_mace,1001,510.0,96.0,0.8102238558893716
old_mace,1001,510.0,192.0,0.9303236076782113
old_mace,881,520.0,0.75,0.706711558237921
old_mace,881,520.0,1.5,0.7346550626396898
old_mace,881,520.0,3.0,0.7700970951204908
old_mace,881,520.0,6.0,0.7936155664147172
old_mace,881,520.0,12.0,0.8139963983908286
old_mace,881,520.0,24.0,0.8379056234642361
old_mace,881,520.0,48.0,0.8525052922790787
old_mace,881,520.0,96.0,0.9418366211565671
old_mace,881,520.0,192.0,1.0912395595552993
old_mace,1009,520.0,0.75,0.5190315585381235
old_mace,1009,520.0,1.5,0.5379055201646524
old_mace,1009,520.0,3.0,0.5651033636637699
old_mace,1009,520.0,6.0,0.5687316590883543
old_mace,1009,520.0,12.0,0.5727155154511412
old_mace,1009,520.0,24.0,0.6042082722999632
old_mace,1009,520.0,48.0,0.6449853535935444
old_mace,1009,520.0,96.0,0.7074915255524981
old_mace,1009,520.0,192.0,0.8460496873817628
mace,911,400.0,0.75,0.4340468809684619
mace,911,400.0,1.5,0.4313515778810065
mace,911,400.0,3.0,0.4646081936929757
mace,911,400.0,6.0,0.5128382871450554
mace,911,400.0,12.0,0.549190187382545
mace,911,400.0,24.0,0.6155446898872223
mace,911,400.0,48.0,0.7140712681018504
mace,911,400.0,96.0,0.8125240293693983
mace,911,400.0,192.0,0.7890993292967121
mace,913,400.0,0.75,0.48635360342123773
mace,913,400.0,1.5,0.4805857133976402
mace,913,400.0,3.0,0.5093117011663926
mace,913,400.0,6.0,0.5531322471080488
mace,913,400.0,12.0,0.5907555831686921
mace,913,400.0,24.0,0.6446599949297226
mace,913,400.0,48.0,0.6725583071969894
mace,913,400.0,96.0,0.7581735073984424
mace,913,400.0,192.0,0.7934587817426125
mace,938,450.0,0.75,0.37735442743234293
mace,938,450.0,1.5,0.381804431415161
mace,938,450.0,3.0,0.4170071560116868
mace,938,450.0,6.0,0.4570561625521323
mace,938,450.0,12.0,0.4541376854446782
mace,938,450.0,24.0,0.47201716303477925
mace,938,450.0,48.0,0.47352855222503776
mace,938,450.0,96.0,0.5239098422110405
