task,family,method,source,temperature_K,target,n,loss,constant_loss,r2_vs_training_mean,positive,prevalence,auroc,average_precision
future,nonlinear,radial_control,971,500.0,crystallize_96ps,1591,0.19235500488423826,0.19251189056777918,0.0008149402256567573,414.0,0.26021370207416716,0.546412930606348,0.28842945771812484
future,nonlinear,radial_control,1000,510.0,crystallize_24ps,2545,0.012769284955178756,0.011136889258986949,-0.14657555249321885,21.0,0.008251473477406679,0.8191834578522376,0.03816244749904042
future,nonlinear,radial_control,1000,510.0,crystallize_48ps,2545,0.05088429442864458,0.03725500929469019,-0.36583765222404385,68.0,0.026719056974459726,0.6881367403642927,0.04100076602053777
future,nonlinear,radial_control,1000,510.0,crystallize_96ps,2545,0.19897212870552275,0.11118131144448612,-0.7896184720295498,196.0,0.07701375245579568,0.8072193117349111,0.1870171436130091
future,nonlinear,radial_control,1001,510.0,crystallize_24ps,1595,0.05398081786261726,0.05324362618510066,-0.013845632432204491,90.0,0.05642633228840126,0.5466445182724253,0.06508277572680608
future,nonlinear,radial_control,1001,510.0,crystallize_48ps,1595,0.09921721588377265,0.09929095255372769,0.000742632315015257,178.0,0.1115987460815047,0.5437266578386051,0.12861494857852235
future,nonlinear,radial_control,1001,510.0,crystallize_96ps,1595,0.16640512878401179,0.16607320023488759,-0.0019986882209455104,326.0,0.2043887147335423,0.4608986352231359,0.18510846382906643
future,nonlinear,radial_control,881,520.0,crystallize_24ps,2249,0.05199378856698599,0.05210129061304609,0.0020633278906372343,124.0,0.055135615829257446,0.6661745730550285,0.13417992315268953
future,nonlinear,radial_control,881,520.0,crystallize_48ps,2249,0.09954752758536685,0.09962452508155484,0.0007728769208682484,252.0,0.11204979991107158,0.5381306086113297,0.12216557443389675
future,nonlinear,radial_control,881,520.0,crystallize_96ps,2249,0.17600158119010206,0.17607872841841457,0.00043814053523361096,508.0,0.22587816807469988,0.537117775556631,0.2516220551903793
future,nonlinear,radial_control,1009,520.0,crystallize_24ps,1123,0.0741257768564233,0.07356346073643326,-0.0076439595739621335,89.0,0.0792520035618878,0.5444765609718991,0.08180259806284718
future,nonlinear,radial_control,1009,520.0,crystallize_48ps,1123,0.14661949666248134,0.14744103705103112,0.005571992743549692,196.0,0.1745325022261799,0.5690894480769655,0.20322795952338424
future,nonlinear,radial_control,1009,520.0,crystallize_96ps,1123,0.25267156823147774,0.25286862157979234,0.0007792716513560505,424.0,0.377560106856634,0.5605177207331228,0.41604216173783454
future,nonlinear,plus_gatr,911,400.0,crystallize_24ps,2032,0.048517724151447804,0.04860705854318692,0.0018378892781537592,104.0,0.051181102362204724,0.691828917969997,0.20063772318612152
future,nonlinear,plus_gatr,911,400.0,crystallize_48ps,2032,0.08968517809186206,0.08980898304092247,0.0013785363653877614,201.0,0.09891732283464567,0.5370145449703965,0.12071445224585471
future,nonlinear,plus_gatr,911,400.0,crystallize_96ps,2032,0.16648285075150346,0.1662457060666833,-0.0014264710375440082,416.0,0.2047244094488189,0.40117455255140894,0.17175451979666745
future,nonlinear,plus_gatr,913,400.0,crystallize_24ps,2616,0.03280429147574018,0.033525222062659614,0.021504125627325954,89.0,0.034021406727828746,0.7233473986563095,0.10673355169632459
future,nonlinear,plus_gatr,913,400.0,crystallize_48ps,2616,0.07289826778421929,0.07572159545765096,0.037285633726651723,209.0,0.07989296636085627,0.7150655086937421,0.2205680638121381
future,nonlinear,plus_gatr,913,400.0,crystallize_96ps,2616,0.1538513181594541,0.15396244938001685,0.0007218073043800954,465.0,0.17775229357798164,0.538520218153097,0.22269188455287442
future,nonlinear,plus_gatr,938,450.0,crystallize_24ps,1276,0.06546514760724848,0.06647732037606689,0.015225835865412263,91.0,0.0713166144200627,0.6581443872583113,0.1019321071602797
future,nonlinear,plus_gatr,938,450.0,crystallize_48ps,1276,0.14496346917624067,0.1451897728045892,0.0015586747191422834,219.0,0.17163009404388715,0.5538722065983246,0.20830539261734157
future,nonlinear,plus_gatr,938,450.0,crystallize_96ps,1276,0.2501797483032028,0.25002854803018887,-0.0006047320364219733,475.0,0.3722570532915361,0.48794795978710825,0.372526575160669
future,nonlinear,plus_gatr,942,450.0,crystallize_24ps,1376,0.08129017963079246,0.08138011641022687,0.001105144394007107,121.0,0.08793604651162791,0.5551940996345197,0.0939709724360547
future,nonlinear,plus_gatr,942,450.0,crystallize_48ps,1376,0.15196098925770807,0.1524881015189471,0.0034567435490927556,249.0,0.18095930232558138,0.6581997911789126,0.3057099733903813
future,nonlinear,plus_gatr,942,450.0,crystallize_96ps,1376,0.24712003668766191,0.2472074687875346,0.00035367903850769267,505.0,0.36700581395348836,0.570742631094338,0.4279361800425373
future,nonlinear,plus_gatr,970,500.0,crystallize_24ps,1271,0.06889474901507515,0.06742680241143559,-0.021770965716010338,92.0,0.07238394964594808,0.43469963491536673,0.059254169107866295
future,nonlinear,plus_gatr,970,500.0,crystallize_48ps,1271,0.13498141508661177,0.12684641595343982,-0.06413266840868381,188.0,0.14791502753737215,0.41223649830062276,0.11614111853811586
future,nonlinear,plus_gatr,970,500.0,crystallize_96ps,1271,0.238318994614453,0.21173293711112937,-0.12556410857026834,380.0,0.2989771833202203,0.3361716581014827,0.21999416028673602
future,nonlinear,plus_gatr,971,500.0,crystallize_24ps,1591,0.05027611847387605,0.05059007896515171,0.006205969583323423,85.0,0.05342551854179761,0.6435434731661589,0.07339149871483577
future,nonlinear,plus_gatr,971,500.0,crystallize_48ps,1591,0.10066073649012817,0.10091395332459938,0.002509235107029273,181.0,0.11376492771841609,0.6111084988832726,0.1656294589906336
future,nonlinear,plus_gatr,971,500.0,crystallize_96ps,1591,0.19233267891380032,0.19251189056777918,0.0009309121293770151,414.0,0.26021370207416716,0.5510878800192087,0.2936514670515238
future,nonlinear,plus_gatr,1000,510.0,crystallize_24ps,2545,0.013014874301315002,0.011136889258986949,-0.16862743254922874,21.0,0.008251473477406679,0.7885442608105049,0.02394563210748258
future,nonlinear,plus_gatr,1000,510.0,crystallize_48ps,2545,0.07016157776266682,0.03725500929469019,-0.8832790298797935,68.0,0.026719056974459726,0.778812130423425,0.05776694764057805
future,nonlinear,plus_gatr,1000,510.0,crystallize_96ps,2545,0.18980045248153957,0.11118131144448612,-0.7071255053175796,196.0,0.07701375245579568,0.7961160198434418,0.172015883255606
future,nonlinear,plus_gatr,1001,510.0,crystallize_24ps,1595,0.054166992972501514,0.05324362618510066,-0.017342297164186116,90.0,0.05642633228840126,0.5325913621262458,0.06212073824832755
future,nonlinear,plus_gatr,1001,510.0,crystallize_48ps,1595,0.09922751624908945,0.09929095255372769,0.0006388931016038102,178.0,0.1115987460815047,0.5406540166358742,0.12736872461054055
future,nonlinear,plus_gatr,1001,510.0,crystallize_96ps,1595,0.16640293229426387,0.16607320023488759,-0.0019854621872157363,326.0,0.2043887147335423,0.458822221255324,0.18268287291582375
future,nonlinear,plus_gatr,881,520.0,crystallize_24ps,2249,0.05200111813750803,0.05210129061304609,0.001922648639973823,124.0,0.055135615829257446,0.6601062618595824,0.12170925766574547
future,nonlinear,plus_gatr,881,520.0,crystallize_48ps,2249,0.09957106373280787,0.09962452508155484,0.0005366283924886917,252.0,0.11204979991107158,0.5305140250057626,0.12137561679859211
future,nonlinear,plus_gatr,881,520.0,crystallize_96ps,2249,0.17606258482491216,0.17607872841841457,9.168395096570414e-05,508.0,0.22587816807469988,0.526864821104714,0.2443292425329786
future,nonlinear,plus_gatr,1009,520.0,crystallize_24ps,1123,0.07390274284860858,0.07356346073643326,-0.004612101018342862,89.0,0.0792520035618878,0.5419772672940256,0.08501187234498941
future,nonlinear,plus_gatr,1009,520.0,crystallize_48ps,1123,0.14623399936608641,0.14744103705103112,0.008186578913758846,196.0,0.1745325022261799,0.5780881932060851,0.21235812402286197
future,nonlinear,plus_gatr,1009,520.0,crystallize_96ps,1123,0.25262691537198784,0.25286862157979234,0.0009558568647008991,424.0,0.377560106856634,0.5677821416039086,0.42181427366781243
future,nonlinear,delta_gatr,911,400.0,crystallize_24ps,2032,0.04856774161069163,0.04860705854318692,0.0008088729018720375,104.0,0.051181102362204724,0.5809328120012767,0.12343008572151888
future,nonlinear,delta_gatr,911,400.0,crystallize_48ps,2032,0.08969742229250321,0.08980898304092247,0.0012422003305440077,201.0,0.09891732283464567,0.5493097048889903,0.13085011897799576
future,nonlinear,delta_gatr,911,400.0,crystallize_96ps,2032,0.1663888523301911,0.1662457060666833,-0.0008610523958458849,416.0,0.2047244094488189,0.4388149752475248,0.18516520510814868
future,nonlinear,delta_gatr,913,400.0,crystallize_24ps,2616,0.0327749063007164,0.033525222062659614,0.022380635109317093,89.0,0.034021406727828746,0.7223691991658626,0.10859603659510472
future,nonlinear,delta_gatr,913,400.0,crystallize_48ps,2616,0.07330231670415108,0.07572159545765096,0.0319496537134234,209.0,0.07989296636085627,0.7063131257914018,0.19377137629537822
future,nonlinear,delta_gatr,913,400.0,crystallize_96ps,2616,0.15389774890320845,0.15396244938001685,0.000420235434477334,465.0,0.17775229357798164,0.556650320181161,0.2381185456066092
future,nonlinear,delta_gatr,938,450.0,crystallize_24ps,1276,0.06569022722849645,0.06647732037606689,0.011840025186301228,91.0,0.0713166144200627,0.6430472481105393,0.09623578851969537
future,nonlinear,delta_gatr,938,450.0,crystallize_48ps,1276,0.14505112174521953,0.1451897728045892,0.0009549643662317697,219.0,0.17163009404388715,0.5287645313046745,0.18932311730713203
future,nonlinear,delta_gatr,938,450.0,crystallize_96ps,1276,0.2501785662914034,0.25002854803018887,-0.0006000045290683875,475.0,0.3722570532915361,0.4745909718115514,0.3619445340028602
future,nonlinear,delta_gatr,942,450.0,crystallize_24ps,1376,0.0812877673927666,0.08138011641022687,0.0011347860083507078,121.0,0.08793604651162791,0.5654341312436205,0.09695643078297075
