left,right,readout,population,metric,seeds,value,ci95_low,ci95_high,sources
state_history,state_constant,A,low_order,delta/3ps/motion_even,3,-0.0016775014353733438,-0.005108280830523547,0.0022165434617622205,17
state_history,state_constant,A,low_order,delta/3ps/motion_odd,3,-0.0005120862932766185,-0.0034404889625661516,0.002431443713459311,17
state_history,state_constant,A,low_order,delta/9ps/block_mean,3,-0.0006022944352498248,-0.0017953014581044062,0.00037325456665426957,17
state_history,state_constant,A,low_order,delta/9ps/bond_order,3,0.0001546746375514012,-0.00036535250643889114,0.0007036956721076776,17
state_history,state_constant,A,low_order,delta/9ps/instantaneous_TDA_H0,3,0.001059461458056581,0.0006310622554783727,0.0014673467871605178,17
state_history,state_constant,A,low_order,delta/9ps/instantaneous_TDA_H1,3,0.0003911058108011881,-0.00010735825726798937,0.0008903085162826611,17
state_history,state_constant,A,low_order,delta/9ps/instantaneous_TDA_H2,3,0.0005377741420970244,0.00035786417623360947,0.0007207125498383651,17
state_history,state_constant,A,low_order,delta/9ps/motion_even,3,-0.005401663336099363,-0.01182607060261801,-0.00010304819135105179,17
state_history,state_constant,A,low_order,delta/9ps/motion_odd,3,-0.00035511932390577654,-0.0032896688755820773,0.002986138766887138,17
state_history,state_constant,A,low_order,future/0.75ps/block_mean,3,-0.0050606232599105655,-0.0077284840440827954,-0.0028855901095845666,17
state_history,state_constant,A,low_order,future/0.75ps/bond_order,3,-0.0017372106804567223,-0.0036808725227327906,0.00010085764030615348,17
state_history,state_constant,A,low_order,future/0.75ps/instantaneous_TDA_H0,3,2.3571883930879584e-05,-0.0012012558313561422,0.0012674891371645177,17
state_history,state_constant,A,low_order,future/0.75ps/instantaneous_TDA_H1,3,0.0006242913066172133,-0.0002474591683815508,0.0016246764719778407,17
state_history,state_constant,A,low_order,future/0.75ps/instantaneous_TDA_H2,3,0.00012880183902441286,-0.0007271364915604684,0.0009224675157490894,17
state_history,state_constant,A,low_order,future/0.75ps/motion_even,3,-0.028778439058977014,-0.04457093602886386,-0.016165954269030513,17
state_history,state_constant,A,low_order,future/0.75ps/motion_odd,3,-0.0006247548496021945,-0.0025056696697777396,0.0009727795334423276,17
state_history,state_constant,A,low_order,future/3ps/block_mean,3,-0.005017839664337677,-0.008952827697461528,-0.0023553980082224807,17
state_history,state_constant,A,low_order,future/3ps/bond_order,3,-0.0016470919637119068,-0.0041852411905340114,0.0005955845409748523,17
