model,split,horizon_ps,n,sources,prevalence,log_loss,brier,average_precision,threshold,recall,false_positive_rate,precision,log_loss_ci95,brier_ci95,method,block,mse
linear-packet_plus_center_H0,calibration,48,16584,15,0.278634105156337,0.5414861078064337,0.18126167087568926,0.47368019116122023,0.43054139614105225,0.19953083558202536,0.04994400659380102,0.6067853022368915,,,,,
linear-packet_plus_center_H0,test,48,44385,30,0.18840006848320312,0.48208774444156227,0.1551300799195032,0.3050336009158845,0.43054139614105225,0.24049833179491878,0.10036708295871512,0.3574243229775756,"[0.4363569856765091, 0.5269374892606477]","[0.1360724653605917, 0.17432004927178388]",,,
linear-packet_plus_center_H0,selection,96,20881,15,0.3646435880571329,0.6156603195245328,0.21473049634417424,0.5363295525593048,0.6916197538375854,0.22099976723000778,0.09047243985784394,0.5836683285644846,,,,,
linear-packet_plus_center_H0,calibration,96,16584,15,0.5218947175551638,0.6258809357896565,0.2189163483166906,0.684771183799082,0.6916197538375854,0.15988867822649955,0.049956539706886384,0.7774658769480199,,,,,
linear-packet_plus_center_H0,test,96,44385,30,0.36752480433082857,0.6877679545403962,0.2480452497643861,0.46016282804197184,0.6916197538375854,0.19631993793543193,0.11273033438875432,0.5029741967062644,"[0.6438253493561534, 0.7281884743500077]","[0.22739134431528754, 0.26654480737566555]",,,
mlp-packet_plus_center_H0,selection,0.75,20881,15,0.001717366617496936,0.009141498902135043,0.0017103674325597705,0.07604932554836105,0.012035542167723179,0.8936621022592116,0.056275916578897314,0.02659224876639689,,,,,
mlp-packet_plus_center_H0,calibration,0.75,16584,15,0.00469864808109772,0.016890568191421197,0.004162451885555946,0.19556001525854932,0.012035542167723179,0.913387216209072,0.0499778907464225,0.07942454261117245,,,,,
mlp-packet_plus_center_H0,test,0.75,44385,30,0.002461127212794187,0.010625164251862312,0.002255650375948016,0.14492165295699325,0.012035542167723179,0.8179765874051461,0.04397376004911722,0.04387973808170381,"[0.007569437729202199, 0.013984534143768466]","[0.0015012337244277912, 0.003094266329024081]",,,
mlp-packet_plus_center_H0,selection,3,20881,15,0.009324540953417646,0.03574723539827397,0.008552566117949424,0.19795966346432844,0.039134733378887177,0.7948258749383,0.05877590561025257,0.11291092239681408,,,,,
mlp-packet_plus_center_H0,calibration,3,16584,15,0.014324638924385276,0.047737101581403076,0.01227644304908251,0.25184589511886735,0.039134733378887177,0.7381970371050307,0.04997587646582388,0.17672788065419082,,,,,
mlp-packet_plus_center_H0,test,3,44385,30,0.00884508151496356,0.0335182281002269,0.007951782709362358,0.20316843271435733,0.039134733378887177,0.7451248570152483,0.046399293673835,0.12534695636527307,"[0.026949348973829695, 0.04128069560703175]","[0.006086154147855774, 0.010142297176928]",,,
mlp-packet_plus_center_H0,selection,9,20881,15,0.03277230679889552,0.1115084893581437,0.02848508386697075,0.2563971210727859,0.10835819691419601,0.5543181679796468,0.06570401509946656,0.22230721680075177,,,,,
mlp-packet_plus_center_H0,calibration,9,16584,15,0.04785316738960783,0.14417697377114871,0.03780847700469438,0.3311317095686537,0.10835819691419601,0.5194640969980249,0.04999332223166155,0.34306307370597494,,,,,
mlp-packet_plus_center_H0,test,9,44385,30,0.03124302427652125,0.10623452517904441,0.026496301870512287,0.2651404145966655,0.10835819691419601,0.5305290487819113,0.05257763385682976,0.245523075570099,"[0.08660827004925356, 0.12790374616376038]","[0.020359789875168705, 0.03319138807934806]",,,
mlp-packet_plus_center_H0,selection,24,20881,15,0.09697707537936248,0.26725464148053757,0.07619330300310435,0.34682770150915754,0.2362845093011856,0.3685882735197095,0.07242775072404554,0.3533873606903546,,,,,
mlp-packet_plus_center_H0,calibration,24,16584,15,0.13707065020025577,0.34306166006710453,0.10232258523474705,0.3906765774856007,0.2362845093011856,0.29532102053449105,0.04998377354120198,0.4841373781223826,,,,,
mlp-packet_plus_center_H0,test,24,44385,30,0.09117904843080059,0.27280495719783066,0.07611903634935949,0.28417342683273095,0.2362845093011856,0.33086638929086415,0.0708701689435832,0.3189811612453671,"[0.23355963227538612, 0.31621545692006653]","[0.061720835804336474, 0.09130445484822251]",,,
mlp-packet_plus_center_H0,selection,48,20881,15,0.196435182435432,0.42893618789507104,0.1365150834388307,0.4490330463510937,0.41192713379859924,0.29372818450093013,0.07823312318105878,0.4785722162544082,,,,,
mlp-packet_plus_center_H0,calibration,48,16584,15,0.278634105156337,0.5302204279102848,0.17869743238202898,0.49275148739380553,0.41192713379859924,0.20492165316940714,0.04995177011887746,0.6130907417494462,,,,,
mlp-packet_plus_center_H0,test,48,44385,30,0.18840006848320312,0.46375589441328313,0.14923690581553878,0.33817460529438975,0.41192713379859924,0.2582520387084374,0.0987942100512661,0.3776481194596758,"[0.4155740126194335, 0.5154992406837466]","[0.12919346187632016, 0.17009912874854177]",,,
mlp-packet_plus_center_H0,selection,96,20881,15,0.3646435880571329,0.5893405710903815,0.20468360115269368,0.5988448234362931,0.7094461917877197,0.2249450592987331,0.06720670366190505,0.6576450936092588,,,,,
mlp-packet_plus_center_H0,calibration,96,16584,15,0.5218947175551638,0.6090055993787394,0.2144325546977144,0.6976537475888351,0.7094461917877197,0.15638060594490547,0.04999403746379427,0.7734725378829552,,,,,
mlp-packet_plus_center_H0,test,96,44385,30,0.36752480433082857,0.6696634919273697,0.24153580562470625,0.48165883648814095,0.7094461917877197,0.16380016425923785,0.0812637894709061,0.5394419961122695,"[0.626459198459854, 0.710193564505704]","[0.22154860743127622, 0.25935621584277596]",,,
linear-packet_plus_shell25_H0,selection,0.75,20881,15,0.001717366617496936,0.00983958135890918,0.0017462802811723504,0.1154912069991527,0.007830983027815819,0.6692138504250176,0.05468335209771413,0.0206191566220123,,,,,
linear-packet_plus_shell25_H0,calibration,0.75,16584,15,0.00469864808109772,0.020485175661719604,0.00440022425555759,0.1383319592581075,0.007830983027815819,0.7615224115837046,0.049994149235049044,0.06708478143067324,,,,,
linear-packet_plus_shell25_H0,test,0.75,44385,30,0.002461127212794187,0.011030614557400608,0.002289504031005793,0.15901663752042658,0.007830983027815819,0.753128974675363,0.04256748311271367,0.04182541557294064,"[0.00785378508951388, 0.014612122150811889]","[0.001545965777155556, 0.003119649026227427]",,,
linear-packet_plus_shell25_H0,selection,3,20881,15,0.009324540953417646,0.03963801790490839,0.00840634772068714,0.22750826977435473,0.041427962481975555,0.5971967437467116,0.057695382878088876,0.08877637326450895,,,,,
linear-packet_plus_shell25_H0,calibration,3,16584,15,0.014324638924385276,0.055364473017453765,0.013123697870734056,0.17303499748025264,0.041427962481975555,0.5760340754473326,0.049925012881351864,0.14360056383699132,,,,,
linear-packet_plus_shell25_H0,test,3,44385,30,0.00884508151496356,0.036071066101975885,0.0078806675220126,0.20790994783184993,0.041427962481975555,0.6208018513502316,0.04650744881375718,0.10644211105594431,"[0.02950379243942493, 0.04353333161001392]","[0.006324356648112708, 0.009660255424623142]",,,
linear-packet_plus_shell25_H0,selection,9,20881,15,0.03277230679889552,0.11999544524095898,0.030099939417542066,0.19314626953401157,0.13108237087726593,0.41748323978861396,0.06312050180941318,0.18307501222305106,,,,,
linear-packet_plus_shell25_H0,calibration,9,16584,15,0.04785316738960783,0.14836980146458253,0.04022965266523921,0.26670059496079673,0.13108237087726593,0.43842682001996514,0.049939527237046075,0.30614548913497275,,,,,
linear-packet_plus_shell25_H0,test,9,44385,30,0.03124302427652125,0.11118883736961996,0.027628837610484958,0.20712769079319798,0.13108237087726593,0.4328818391724993,0.048740726963324384,0.2226537823007006,"[0.09163046097217471, 0.13399002696311482]","[0.02152602491491054, 0.03473278898458326]",,,
linear-packet_plus_shell25_H0,selection,24,20881,15,0.09697707537936248,0.2794880877467749,0.08182830141160381,0.27432092649897977,0.29107993841171265,0.3426699176018763,0.0764104140282444,0.32505766117198887,,,,,
linear-packet_plus_shell25_H0,calibration,24,16584,15,0.13707065020025577,0.3346024209849381,0.10039851837403393,0.3961055798516204,0.29107993841171265,0.3269496994227275,0.04997601504833161,0.5096055203660399,,,,,
linear-packet_plus_shell25_H0,test,24,44385,30,0.09117904843080059,0.2720977937040608,0.07639172297305165,0.27092287621953814,0.29107993841171265,0.3032923723947508,0.05504161034975224,0.3560121159323877,"[0.2367286789392948, 0.30954250184426463]","[0.06279949548806778, 0.09113174468758929]",,,
